Store_Name,Revenue
Patna Branch,1764893.9
RetailMart Chennai,1536444.67
RetailMart Jaipur,1522705.85
RetailMart Hyderabad,1455744.09
RetailMart Coimbatore,1446574.1
RetailMart Kolkata,1433047.67
RetailMart Indore,1325231.77
Pune Branch,1187941.86
Delhi Branch,1175207.46
Chandigarh Branch,1116220.09
RetailMart Kochi,899135.43
RetailMart Kanpur,869299.84
RetailMart Mumbai,866599.43
RetailMart Bhubaneswar,844064.68
RetailMart Bengaluru,815556.23
RetailMart Ahmedabad,805902.32
RetailMart Ranchi,802222.65
RetailMart Guwahati,793987.67
RetailMart Pune,786643.39
RetailMart Visakhapatnam,781865.28
RetailMart Raipur,781509.34
RetailMart Patna,779628.77
RetailMart Surat,775099.46
RetailMart Nagpur,773664.79
RetailMart Mysuru,772185.77
RetailMart Delhi,744978.11
RetailMart Lucknow,738680.13
RetailMart Bhopal,732380.77
RetailMart Chandigarh,666839.36
Jaipur Branch,635275.71
Ahmedabad Branch,610668.03
Mumbai Branch,602950.36
