Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Discount,Payment_Mode,Created_At,Last_Updated
509708,2023-09-17T12:52:00.000Z,1218,P1096,S025,4,0.0,Credit Card,2023-09-17T15:49:00.000Z,2026-08-02T09:05:00Z
507050,2023-05-02T10:13:00.000Z,1134,P1123,S011,7,0.05,Net Banking,2023-05-02T11:30:00.000Z,2026-08-17T18:01:00Z
502679,2025-02-10T20:48:00.000Z,1068,P1076,S008,8,0.2,Credit Card,2025-02-10T22:42:00.000Z,2026-08-18T15:14:00Z
504530,2025-01-06T04:17:00.000Z,1028,P1087,S003,8,0.15,Wallet,2025-01-06T05:39:00.000Z,2026-08-01T11:44:00Z
509184,2023-01-11T11:02:00.000Z,1108,P1073,S012,3,0.15,Cash,2023-01-11T13:25:00.000Z,2026-08-09T11:13:00Z
507159,2024-10-29T09:41:00.000Z,1332,P1132,S025,7,0.1,Credit Card,2024-10-29T10:50:00.000Z,2026-08-03T15:06:00Z
507242,2025-02-19T07:38:00.000Z,1249,P1141,S007,7,0.1,Net Banking,2025-02-19T10:04:00.000Z,2026-08-20T13:51:00Z
503227,2025-08-03T23:37:00.000Z,1344,P1099,S018,5,0.0,Upi,2025-08-04T01:22:00.000Z,2026-08-18T10:59:00Z
510001,2026-08-13T10:35:00Z,1267,P1058,S014,2,0.0,Cash,2026-08-13T10:58:00Z,2026-08-18T10:58:00Z
510002,2026-08-22T12:49:00Z,1499,P1089,S009,4,0.1,Upi,2026-08-22T13:12:00Z,2026-08-22T13:12:00Z
510003,2026-08-21T14:10:00Z,1462,P1047,S025,1,0.2,Credit Card,2026-08-21T14:38:00Z,2026-08-23T14:38:00Z
510004,2026-08-18T20:15:00Z,1436,P1048,S004,5,0.05,Debit Card,2026-08-18T20:30:00Z,2026-08-21T20:30:00Z
510005,2026-08-25T09:14:00Z,1135,P1084,S013,3,0.0,Credit Card,2026-08-25T10:11:00Z,2026-08-25T10:11:00Z
510006,2026-08-19T20:20:00Z,1475,P1003,S004,4,0.05,Debit Card,2026-08-19T20:38:00Z,2026-08-24T20:38:00Z
510007,2026-08-05T12:47:00Z,1404,P1125,S015,5,0.15,Debit Card,2026-08-05T13:27:00Z,2026-08-09T13:27:00Z
510008,2026-08-08T11:32:00Z,1020,P1012,S009,2,0.05,Upi,2026-08-08T12:08:00Z,2026-08-08T12:08:00Z
510009,2026-08-20T10:24:00Z,1174,P1031,S020,5,0.0,Cash,2026-08-20T10:53:00Z,2026-08-24T10:53:00Z
510010,2026-08-22T17:48:00Z,1038,P1129,S022,4,0.05,Upi,2026-08-22T18:10:00Z,2026-08-27T18:10:00Z
510011,2026-08-01T20:56:00Z,1413,P1046,S016,2,0.2,Cash,2026-08-01T21:47:00Z,2026-08-03T21:47:00Z
510012,2026-08-21T13:53:00Z,1219,P1091,S002,3,0.05,Wallet,2026-08-21T14:38:00Z,2026-08-25T14:38:00Z
