Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Discount,Payment_Mode,Created_At,Last_Updated
500025,2025-05-17T13:29:00.000Z,1335,P1026,S002,7,0.1,Upi,2025-05-17T13:42:00.000Z,2025-06-29T13:42:00.000Z
500058,2023-11-22T23:55:00.000Z,1133,P1064,S021,5,0.2,Cash,2023-11-23T01:56:00.000Z,2023-12-21T01:56:00.000Z
500082,2025-01-09T05:19:00.000Z,1274,P1033,S009,1,0.0,Net Banking,2025-01-09T05:22:00.000Z,2025-02-23T05:22:00.000Z
500100,2023-11-21T09:35:00.000Z,1209,P1024,S008,2,0.15,Upi,2023-11-21T09:38:00.000Z,2023-12-26T09:38:00.000Z
500102,2025-07-24T17:09:00.000Z,1472,P1131,S024,3,0.0,Debit Card,2025-07-24T18:47:00.000Z,2025-08-05T18:47:00.000Z
500126,2023-07-22T15:39:00.000Z,1488,P1072,S002,6,0.05,Cash,2023-07-22T17:23:00.000Z,2023-09-20T17:23:00.000Z
500197,2023-10-05T02:28:00.000Z,1366,P1114,S003,6,0.1,Wallet,2023-10-05T03:12:00.000Z,2023-12-01T03:12:00.000Z
500212,2025-10-17T16:29:00.000Z,1158,P1128,S001,2,0.15,Net Banking,2025-10-17T18:36:00.000Z,2025-12-12T18:36:00.000Z
500224,2025-08-23T23:46:00.000Z,1071,P1133,S007,6,0.15,Net Banking,2025-08-24T00:01:00.000Z,2025-10-08T00:01:00.000Z
500230,2026-02-25T22:17:00.000Z,1316,P1062,S008,1,0.2,Credit Card,2026-02-25T22:52:00.000Z,2026-03-03T22:52:00.000Z
500251,2026-01-20T13:34:00.000Z,1118,P1064,S015,6,0.05,Debit Card,2026-01-20T15:11:00.000Z,2026-03-13T15:11:00.000Z
500265,2023-04-04T18:55:00.000Z,1075,P1005,S009,7,0.1,Credit Card,2023-04-04T19:51:00.000Z,2023-05-21T19:51:00.000Z
500266,2024-02-06T10:14:00.000Z,1427,P1063,S016,6,0.1,Cash,2024-02-06T11:51:00.000Z,2024-03-13T11:51:00.000Z
500277,2023-02-02T06:37:00.000Z,1421,P1102,S003,5,0.05,Net Banking,2023-02-02T07:13:00.000Z,2023-03-22T07:13:00.000Z
500363,2023-10-14T03:00:00.000Z,1400,P1057,S005,4,0.15,Debit Card,2023-10-14T03:15:00.000Z,2023-12-06T03:15:00.000Z
500373,2024-12-21T18:36:00.000Z,1486,P1049,S016,5,0.05,Cash,2024-12-21T19:12:00.000Z,2025-01-26T19:12:00.000Z
500415,2024-11-19T08:40:00.000Z,1142,P1067,S021,5,0.05,Credit Card,2024-11-19T10:03:00.000Z,2025-01-13T10:03:00.000Z
500417,2023-02-22T20:31:00.000Z,1465,P1108,S013,7,0.0,Net Banking,2023-02-22T21:46:00.000Z,2023-03-10T21:46:00.000Z
500427,2025-12-23T06:01:00.000Z,1321,P1064,S008,6,0.1,Credit Card,2025-12-23T08:54:00.000Z,2025-12-23T08:54:00.000Z
500445,2025-06-21T01:04:00.000Z,1161,P1004,S023,4,0.1,Net Banking,2025-06-21T02:10:00.000Z,2025-08-01T02:10:00.000Z
500477,2026-01-06T17:00:00.000Z,1108,P1055,S022,7,0.0,Credit Card,2026-01-06T19:40:00.000Z,2026-01-10T19:40:00.000Z
500484,2025-02-03T00:35:00.000Z,1064,P1011,S001,7,0.2,Net Banking,2025-02-03T02:57:00.000Z,2025-02-12T02:57:00.000Z
500508,2024-01-08T19:42:00.000Z,1086,P1088,S015,2,0.05,Cash,2024-01-08T21:52:00.000Z,2024-01-24T21:52:00.000Z
500545,2025-01-07T17:35:00.000Z,1011,P1106,S004,6,0.2,Credit Card,2025-01-07T18:40:00.000Z,2025-01-29T18:40:00.000Z
500547,2025-07-04T02:24:00.000Z,1238,P1038,S006,6,0.15,Wallet,2025-07-04T05:01:00.000Z,2025-07-22T05:01:00.000Z
500571,2025-08-31T22:38:00.000Z,1395,P1023,S008,3,0.15,Upi,2025-08-31T23:17:00.000Z,2025-09-23T23:17:00.000Z
500575,2026-01-16T22:31:00.000Z,1096,P1140,S012,6,0.15,Debit Card,2026-01-16T23:19:00.000Z,2026-02-21T23:19:00.000Z
500595,2024-04-09T23:41:00.000Z,1006,P1098,S002,5,0.2,Upi,2024-04-10T02:15:00.000Z,2024-06-08T02:15:00.000Z
500599,2023-09-25T04:30:00.000Z,1250,P1102,S021,4,0.2,Net Banking,2023-09-25T06:53:00.000Z,2023-10-07T06:53:00.000Z
500622,2025-09-30T22:20:00.000Z,1127,P1110,S013,1,0.2,Wallet,2025-10-01T00:17:00.000Z,2025-11-26T00:17:00.000Z
500644,2025-04-27T01:21:00.000Z,1413,P1055,S001,4,0.1,Debit Card,2025-04-27T02:50:00.000Z,2025-06-01T02:50:00.000Z
500688,2023-09-29T19:17:00.000Z,1132,P1004,S024,2,0.2,Credit Card,2023-09-29T20:27:00.000Z,2023-11-22T20:27:00.000Z
500697,2025-04-22T03:33:00.000Z,1229,P1090,S008,5,0.1,Credit Card,2025-04-22T03:59:00.000Z,2025-06-04T03:59:00.000Z
500711,2023-05-10T17:41:00.000Z,1274,P1116,S001,1,0.1,Upi,2023-05-10T18:59:00.000Z,2023-06-10T18:59:00.000Z
