Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Discount,Payment_Mode,Unit_Price,Sales_Amount
500025,2025-05-17T13:29:00.000Z,1335,P1026,S002,7,0.1,Upi,577.0,4034.96
500058,2023-11-22T23:55:00.000Z,1133,P1064,S021,5,0.2,Cash,645.0,3218.55
500082,2025-01-09T05:19:00.000Z,1274,P1033,S009,1,0.0,Net Banking,437.0,437.0
500100,2023-11-21T09:35:00.000Z,1209,P1024,S008,2,0.15,Upi,774.0,1545.68
500102,2025-07-24T17:09:00.000Z,1472,P1131,S024,3,0.0,Debit Card,758.0,2274.0
500126,2023-07-22T15:39:00.000Z,1488,P1072,S002,6,0.05,Cash,850.0,5097.45
500197,2023-10-05T02:28:00.000Z,1366,P1114,S003,6,0.1,Wallet,627.0,3758.24
500212,2025-10-17T16:29:00.000Z,1158,P1128,S001,2,0.15,Net Banking,803.0,1603.59
500224,2025-08-23T23:46:00.000Z,1071,P1133,S007,6,0.15,Net Banking,833.0,4990.5
500230,2026-02-25T22:17:00.000Z,1316,P1062,S008,1,0.2,Credit Card,574.0,572.85
500251,2026-01-20T13:34:00.000Z,1118,P1064,S015,6,0.05,Debit Card,645.0,3868.07
500265,2023-04-04T18:55:00.000Z,1075,P1005,S009,7,0.1,Credit Card,457.0,3195.8
500266,2024-02-06T10:14:00.000Z,1427,P1063,S016,6,0.1,Cash,296.0,1774.22
500277,2023-02-02T06:37:00.000Z,1421,P1102,S003,5,0.05,Net Banking,271.0,1354.32
500363,2023-10-14T03:00:00.000Z,1400,P1057,S005,4,0.15,Debit Card,191.0,762.85
500373,2024-12-21T18:36:00.000Z,1486,P1049,S016,5,0.05,Cash,704.0,3518.24
500415,2024-11-19T08:40:00.000Z,1142,P1067,S021,5,0.05,Credit Card,341.0,1704.15
500417,2023-02-22T20:31:00.000Z,1465,P1108,S013,7,0.0,Net Banking,223.0,1561.0
500427,2025-12-23T06:01:00.000Z,1321,P1064,S008,6,0.1,Credit Card,645.0,3866.13
500445,2025-06-21T01:04:00.000Z,1161,P1004,S023,4,0.1,Net Banking,484.0,1934.06
500477,2026-01-06T17:00:00.000Z,1108,P1055,S022,7,0.0,Credit Card,840.0,5880.0
500484,2025-02-03T00:35:00.000Z,1064,P1011,S001,7,0.2,Net Banking,298.0,2081.83
500508,2024-01-08T19:42:00.000Z,1086,P1088,S015,2,0.05,Cash,241.0,481.76
500545,2025-01-07T17:35:00.000Z,1011,P1106,S004,6,0.2,Credit Card,261.0,1562.87
500547,2025-07-04T02:24:00.000Z,1238,P1038,S006,6,0.15,Wallet,27.0,161.76
500571,2025-08-31T22:38:00.000Z,1395,P1023,S008,3,0.15,Upi,139.0,416.37
500575,2026-01-16T22:31:00.000Z,1096,P1140,S012,6,0.15,Debit Card,349.0,2090.86
500595,2024-04-09T23:41:00.000Z,1006,P1098,S002,5,0.2,Upi,471.0,2350.29
500599,2023-09-25T04:30:00.000Z,1250,P1102,S021,4,0.2,Net Banking,271.0,1081.83
500622,2025-09-30T22:20:00.000Z,1127,P1110,S013,1,0.2,Wallet,37.0,36.93
500644,2025-04-27T01:21:00.000Z,1413,P1055,S001,4,0.1,Debit Card,840.0,3356.64
500688,2023-09-29T19:17:00.000Z,1132,P1004,S024,2,0.2,Credit Card,484.0,966.06
500697,2025-04-22T03:33:00.000Z,1229,P1090,S008,5,0.1,Credit Card,692.0,3456.54
500711,2023-05-10T17:41:00.000Z,1274,P1116,S001,1,0.1,Upi,27.0,26.97
500726,2023-12-27T05:50:00.000Z,1264,P1030,S003,4,0.15,Net Banking,268.0,1070.39
500731,2026-03-10T01:17:00.000Z,1437,P1120,S015,7,0.05,Debit Card,152.0,1063.47
500747,2024-08-13T02:06:00.000Z,1058,P1038,S016,3,0.05,Net Banking,27.0,80.96
500752,2023-04-07T04:22:00.000Z,1490,P1043,S020,3,0.2,Debit Card,608.0,1820.35
500759,2023-07-09T10:03:00.000Z,1100,P1150,S017,4,0.1,Credit Card,667.0,2665.33
500760,2023-02-16T02:34:00.000Z,1344,P1023,S017,7,0.05,Cash,139.0,972.51
500770,2024-06-12T20:43:00.000Z,1419,P1031,S012,1,0.1,Credit Card,828.0,827.17
500780,2023-02-08T15:48:00.000Z,1101,P1028,S002,1,0.15,Upi,371.0,370.44
500787,2024-08-13T17:46:00.000Z,1168,P1127,S004,7,0.1,Cash,80.0,559.44
500798,2023-03-09T05:35:00.000Z,1400,P1078,S023,3,0.15,Cash,290.0,868.7
500829,2023-02-26T01:41:00.000Z,1323,P1114,S021,3,0.0,Cash,627.0,1881.0
500836,2024-04-04T22:13:00.000Z,1442,P1069,S010,8,0.15,Credit Card,586.0,4680.97
500886,2023-06-24T08:23:00.000Z,1323,P1063,S005,7,0.05,Credit Card,296.0,2070.96
500917,2025-03-09T03:20:00.000Z,1458,P1083,S009,7,0.0,Upi,45.0,315.0
500921,2025-04-13T14:05:00.000Z,1105,P1037,S012,3,0.05,Net Banking,522.0,1565.22
500939,2024-05-26T06:10:00.000Z,1033,P1025,S001,8,0.15,Upi,511.0,4081.87
