Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Discount,Payment_Mode,Created_At,Last_Updated
500001,2023-08-17 00:47:00,1115,P1036,S024,2,0.2,UPI,2023-08-17 01:57:00,2023-09-01 01:57:00
500002,2025-05-14 01:01:00,1120,P1130,S020,1,0.2,Credit Card,2025-05-14 01:24:00,2025-05-27 01:24:00
500003,2026-01-21 13:14:00,1143,P1002,S025,3,0.15,Debit Card,2026-01-21 15:08:00,2026-02-27 15:08:00
500004,2024-07-23 04:13:00,1048,P1098,S004,6,0.1,Net Banking,2024-07-23 05:39:00,2024-07-29 05:39:00
500005,2024-06-25 01:46:00,1064,P1097,S003,5,0.2,Debit Card,2024-06-25 03:43:00,2024-07-29 03:43:00
500006,2026-03-28 06:45:00,1339,P1059,S025,5,0.0,Credit Card,2026-03-28 07:02:00,2026-03-30 07:02:00
500007,2023-07-26 12:17:00,1428,P1094,S006,6,0.1,Credit Card,2023-07-26 14:13:00,2023-09-04 14:13:00
500008,2024-06-30 22:59:00,1037,P1044,S018,4,0.05,Cash,2024-07-01 01:53:00,2024-08-11 01:53:00
500009,2025-02-16 08:59:00,1286,P1057,S022,6,0.0,Credit Card,2025-02-16 11:42:00,2025-04-01 11:42:00
500010,2023-03-07 10:25:00,1109,P1146,S023,6,0.05,Wallet,2023-03-07 11:33:00,2023-03-11 11:33:00
500011,2025-10-19 12:56:00,1074,P1068,S005,4,0.2,Net Banking,2025-10-19 15:40:00,2025-11-17 15:40:00
500012,2024-06-22 23:37:00,1299,P1103,S012,4,0.05,Net Banking,2024-06-23 01:26:00,2024-08-19 01:26:00
500013,2025-10-07 02:48:00,1057,P1040,S021,3,0.15,Net Banking,2025-10-07 03:00:00,2025-12-01 03:00:00
500014,2023-05-11 12:24:00,1271,P1065,S018,1,0.0,WALLET,2023-05-11 14:56:00,2023-06-09 14:56:00
500015,2026-01-04 08:49:00,1058,P1076,S014,3,0.15,UPI,2026-01-04 11:33:00,2026-01-25 11:33:00
500016,2024-06-23 16:48:00,1468,P1028,S021,5,0.2,Net Banking,2024-06-23 17:33:00,2024-07-25 17:33:00
500017,2024-02-12 04:23:00,1489,P1136,S001,6,0.15,UPI,2024-02-12 05:04:00,2024-03-17 05:04:00
500018,2023-08-18 11:56:00,1030,P1062,S019,2,0.0,Wallet,2023-08-18 13:14:00,2023-09-02 13:14:00
500019,2025-09-22 02:48:00,1065,P1033,S022,8,0.2,Credit Card,2025-09-22 05:04:00,2025-11-10 05:04:00
500020,2024-06-26 16:55:00,1494,P1055,S018,4,0.1,Cash,2024-06-26 19:30:00,2024-07-23 19:30:00
500021,2025-02-03 14:57:00,1062,P1064,S008,2,0.1,upi,2025-02-03 17:09:00,2025-03-03 17:09:00
500022,2026-02-08 07:37:00,1037,P1016,S008,2,0.0,Debit Card,2026-02-08 08:33:00,2026-02-08 08:33:00
500023,2023-05-26 16:15:00,1249,P1055,S018,3,0.2,Net Banking,2023-05-26 17:26:00,2023-07-07 17:26:00
500024,2025-08-26 07:50:00,1209,P1049,S004,2,0.15,Debit Card,2025-08-26 09:51:00,2025-10-16 09:51:00
500025,2025-05-17 13:29:00,1335,P1026,S002,7,0.1,UPI,2025-05-17 13:42:00,2025-06-29 13:42:00
500026,2024-05-24 06:12:00,1072,P1109,S006,5,0.15,Credit Card,2024-05-24 08:29:00,2024-06-21 08:29:00
500027,2023-06-04 14:51:00,1026,P1139,S001,2,0.05,Credit Card,2023-06-04 17:11:00,2023-06-10 17:11:00
500028,2025-04-12 15:30:00,1206,P1016,S006,7,0.0,Cash,2025-04-12 16:24:00,2025-06-06 16:24:00
500029,2024-06-27 14:18:00,1491,P1143,S022,8,0.05,Credit Card,2024-06-27 16:06:00,2024-08-10 16:06:00
500030,2024-08-30 06:03:00,1278,P1016,S024,6,0.0,UPI,2024-08-30 08:31:00,2024-10-16 08:31:00
500031,2025-09-03 16:58:00,1030,P1131,S003,3,0.0,Net Banking,2025-09-03 19:13:00,2025-09-13 19:13:00
500032,2023-05-20 21:55:00,1062,P1146,S008,1,0.2,UPI,2023-05-20 22:55:00,2023-06-14 22:55:00
500033,2025-05-08 21:37:00,1162,P1067,S007,6,0.05,Debit Card,2025-05-09 00:01:00,2025-06-11 00:01:00
500034,2025-03-21 04:42:00,1235,P1081,S025,2,0.0,Cash,2025-03-21 07:27:00,2025-04-09 07:27:00
500035,2026-02-27 03:04:00,1260,P1068,S005,6,0.0,Credit Card,2026-02-27 05:21:00,2026-03-12 05:21:00
500036,2025-01-26 09:10:00,1279,P1078,S020,1,0.2,Debit Card,2025-01-26 11:02:00,2025-03-20 11:02:00
500037,2023-08-01 04:16:00,1055,P1142,S005,5,0.1,Net Banking,2023-08-01 04:45:00,2023-09-26 04:45:00
500038,2024-03-07 22:21:00,1325,P1068,S017,8,0.1,UPI,2024-03-07 23:13:00,2024-04-19 23:13:00
500039,2023-07-09 20:27:00,1002,P1086,S025,3,0.1,Credit Card,2023-07-09 21:37:00,2023-07-11 21:37:00
500040,2025-06-23 17:45:00,1005,P1029,S003,3,,UPI,2025-06-23 19:34:00,2025-07-28 19:34:00
500041,2025-01-26 18:35:00,1066,P1011,S010,6,0.0,Debit Card,2025-01-26 19:12:00,2025-02-22 19:12:00
500042,2024-03-06 21:15:00,1182,P1144,S014,3,0.05,Credit Card,2024-03-07 00:05:00,2024-03-13 00:05:00
500043,2023-12-29 13:01:00,1474,P1086,S014,4,0.1,Credit Card,2023-12-29 13:46:00,2024-02-14 13:46:00
500044,2023-08-10 12:55:00,1241,P1057,S007,8,0.1,Debit Card,2023-08-10 13:04:00,2023-10-03 13:04:00
500045,2024-04-11 07:01:00,1205,P1085,S009,2,0.1,Debit Card,2024-04-11 09:49:00,2024-04-23 09:49:00
500046,2025-11-09 12:43:00,1481,P1008,S004,5,0.05,Net Banking,2025-11-09 15:00:00,2025-11-30 15:00:00
500047,2024-06-27 01:06:00,1177,P1081,S014,2,0.15,Net Banking,2024-06-27 03:38:00,2024-07-24 03:38:00
500048,2024-01-25 08:02:00,1267,P1138,S022,4,0.1,Cash,2024-01-25 09:53:00,2024-01-25 09:53:00
500049,2023-05-24 21:58:00,1161,P1032,S024,5,0.2,Debit Card,2023-05-24 23:22:00,2023-07-02 23:22:00
500050,2025-04-16 10:25:00,1284,P1033,S007,7,0.15,Wallet,2025-04-16 13:23:00,2025-05-04 13:23:00
500051,2023-12-23 19:36:00,1281,P1001,S010,5,0.05,Cash,2023-12-23 20:53:00,2024-01-17 20:53:00
500052,2024-10-21 14:28:00,1110,P1131,S016,3,0.0,Debit Card,2024-10-21 16:21:00,2024-12-03 16:21:00
500053,2025-11-21 21:40:00,1048,P1061,S022,5,0.05,Credit Card,2025-11-22 00:18:00,2025-12-13 00:18:00
500054,2023-10-29 00:02:00,1313,P1019,S015,7,0.2,Credit Card,2023-10-29 01:04:00,2023-11-28 01:04:00
500055,2025-02-25 15:25:00,1336,P1002,S025,2,0.15,Credit Card,2025-02-25 16:27:00,2025-03-06 16:27:00
500056,2023-12-27 22:33:00,1286,P1064,S004,8,0.05,CASH,2023-12-28 00:31:00,2023-12-31 00:31:00
500057,2025-12-23 17:38:00,1387,P1114,S020,7,0.2,Cash,2025-12-23 18:59:00,2026-02-21 18:59:00
500058,2023-11-22 23:55:00,1133,P1064,S021,5,0.2,Cash,2023-11-23 01:56:00,2023-12-21 01:56:00
500059,2024-05-04 08:28:00,1147,P1061,S009,6,0.1,Net Banking,2024-05-04 08:47:00,2024-06-18 08:47:00
500060,2023-06-15 04:09:00,1356,P1040,S023,4,0.0,Cash,2023-06-15 05:08:00,2023-07-09 05:08:00
500061,2025-04-14 10:34:00,1032,P1053,S014,7,0.2,Wallet,2025-04-14 12:33:00,2025-05-10 12:33:00
500062,2023-02-10 18:24:00,1483,P1091,S010,7,0.15,Net Banking,2023-02-10 20:26:00,2023-02-10 20:26:00
500063,2026-01-23 19:57:00,1113,P1070,S014,8,0.0,Cash,2026-01-23 20:53:00,2026-02-23 20:53:00
500064,2024-11-19 21:43:00,1085,P1120,S005,1,0.15,Net Banking,2024-11-19 23:26:00,2025-01-04 23:26:00
