Txn_ID,Order_Date,Cust_ID,Prod_ID,Store_Code,Quantity,Discount,Payment_Mode,Created_On,Updated_On
TB100001,2023-08-17,CB1115,PB1018,SB104,4,10.0,upi,2023-08-17,2023-09-09
TB100002,2025-05-14,CB1120,PB1065,SB101,4,0.0,CARD,2025-05-14,2025-05-14
TB100003,2026-01-21,CB1143,PB1104,SB101,10,15.0,Card,2026-01-22,2026-01-29
TB100004,2025-05-15,CB1173,PB1014,SB103,4,5.0,Net Banking,2025-05-16,2025-05-24
TB100005,2023-07-18,CB1136,PB1104,SB102,10,10.0,net banking,2023-07-19,2023-08-15
TB100006,2026-01-03,CB1283,PB1038,SB112,2,15.0,CARD,2026-01-03,2026-02-01
TB100007,2023-05-23,CB1041,PB1110,SB108,5,5.0,upi,2023-05-23,2023-06-13
TB100008,2025-02-17,CB1084,PB1048,SB112,6,,CARD,2025-02-18,2025-03-04
TB100009,2024-06-30,CB1312,PB1082,SB106,2,,CARD,2024-07-02,2024-07-31
TB100010,2023-12-01,CB1113,PB1088,SB111,9,10.0,UPI,2023-12-02,2023-12-14
TB100011,2024-04-14,CB1138,PB1009,SB107,7,10.0,cash,2024-04-14,2024-05-09
TB100012,2024-03-11,CB1074,PB1034,SB105,8,15.0,CARD,2024-03-13,2024-03-28
TB100013,2026-02-23,CB1220,PB1115,SB113,10,,cash,2026-02-25,2026-03-05
TB100014,2024-03-25,CB1025,PB1111,SB104,2,15.0,Card,2024-03-25,2024-04-10
TB100015,2023-11-24,CB1198,PB1049,SB115,2,20.0,Cash,2023-11-26,2023-12-09
TB100016,2026-02-07,CB1350,PB1114,SB118,2,,Cash,2026-02-07,2026-02-28
TB100017,2024-11-27,CB1233,PB1001,SB109,3,15.0,Card,2024-11-27,2024-12-06
TB100018,2025-11-05,CB1328,PB1065,SB107,5,,Card,2025-11-05,2025-12-02
TB100019,2025-02-04,CB1307,PB1042,SB116,1,20.0,UPI,2025-02-04,2025-02-21
TB100020,2023-08-18,CB1030,PB1031,SB103,4,10.0,upi,2023-08-19,2023-09-16
TB100021,2025-09-22,CB1066,PB1085,SB116,3,20.0,Card,2025-09-22,2025-10-16
TB100022,2024-06-26,CB1109,PB1119,SB118,7,20.0,CARD,2024-06-28,2024-07-25
