Store_Code,Branch_Name,Town,Province,Zone,Store_Manager,Opening_Date,Created_On,Updated_On
SB101,RetailMart Hyderabad,Hyderabad,Telangana,South,Fariq Kaul,2012-02-04,2014-12-06 16:20:10.435303,2015-11-17 16:20:10.435303
SB102,RetailMart Indore,Indore,Madhya Pradesh,Central,Priya Rastogi,2013-03-21,2021-08-28 16:06:12.886513,2021-12-17 16:06:12.886513
SB103,RetailMart Jaipur,Jaipur,RAJASTHAN,N,Yash Kapoor,2019-03-21,2019-05-08 16:37:38.260628,2020-03-30 16:37:38.260628
SB104,RetailMart Coimbatore,Coimbatore,Tamil Nadu,South,Aadi Naik,2018-11-08,2019-09-21 21:16:34.616117,2020-09-14 21:16:34.616117
SB105,RetailMart Kolkata,Kolkata,West Bengal,EAST,Ladli Madan,2017-12-15,2019-07-27 11:22:34.224490,2020-05-24 11:22:34.224490
SB106,RetailMart Chennai,Chennai,Tamil Nadu,South,Janya Gaba,2021-12-10,2022-12-06 19:58:47.695253,2023-09-11 19:58:47.695253
SB107,Chandigarh Branch,Chandigarh,Chandigarh,North,,2019-11-09,2019-12-30,2021-10-18
SB108,Delhi Branch,Delhi,Delhi,North,Azad Balan,2020-05-04,2024-12-25,2025-02-12
SB109,Jaipur Branch,Jaipur,Rajasthan,North,Oni Kannan,2012-10-05,2015-09-26,2022-03-30
SB110,Patna Branch,Patna,Bihar,east,Pahal Oak,2017-05-20,2019-08-27,2025-08-23
SB111,Ahmedabad Branch,Ahmedabad,Gujarat,West,George Rai,2015-02-27,2017-05-23,2024-05-19
SB112,Pune Branch,Pune,MAHARASHTRA,West,Tripti Yadav,2012-10-20,2023-08-08,2025-05-18
SB113,Pune Branch,Pune,Maharashtra,West,Janaki Handa,2013-03-02,2024-07-31,2024-09-25
SB114,Mumbai Branch,Mumbai,Maharashtra,West,Fariq Kaul,2020-09-14,2020-12-04,2022-03-16
SB115,Patna Branch,Patna,Bihar,East,Nicholas Prabhakar,2022-10-23,2023-11-06,2025-01-26
SB116,Delhi Branch,Delhi,Delhi,North,Onveer Walla,2016-02-29,2022-06-13,2025-04-28
SB117,Chandigarh Branch,Chandigarh,Chandigarh,north,Ekta Bhalla,2021-01-08,2021-10-04,2023-07-29
SB118,Patna Branch,Patna,Bihar,East,Dominic Kakar,2014-07-10,2014-11-16,2018-07-22
SB107,Chandigarh Branch,Chandigarh,Chandigarh,North,,2019-11-09,2019-12-30,2021-10-18
SB104,RetailMart Coimbatore,Coimbatore,Tamil Nadu,South,Aadi Naik,2018-11-08,2019-09-21 21:16:34.616117,2020-09-14 21:16:34.616117
