Year,Month_Name,Month,Revenue
2023,January,1,829093.34
2023,February,2,725225.98
2023,March,3,723057.74
2023,April,4,766922.8
2023,May,5,799996.64
2023,June,6,847638.19
2023,July,7,746240.53
2023,August,8,894503.77
2023,September,9,721985.04
2023,October,10,831618.33
2023,November,11,754585.01
2023,December,12,805724.61
2024,January,1,877763.53
2024,February,2,682751.07
2024,March,3,769641.12
2024,April,4,745114.79
2024,May,5,816903.48
2024,June,6,781972.58
2024,July,7,721290.06
2024,August,8,800309.5
2024,September,9,890823.49
2024,October,10,759016.81
2024,November,11,775568.35
2024,December,12,793172.38
2025,January,1,723340.24
2025,February,2,713750.83
2025,March,3,814609.58
2025,April,4,829062.34
2025,May,5,832084.93
2025,June,6,840185.71
2025,July,7,819735.68
2025,August,8,783012.81
2025,September,9,866107.46
2025,October,10,790651.54
2025,November,11,751935.51
2025,December,12,736768.28
2026,January,1,821983.05
2026,February,2,825392.54
2026,March,3,833609.34
