order_id,order_date,ship_date,ship_mode,customer_id,sales,quantity,discount,profit,avg_sales
CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,261.96,2,0.00,41.91,234.413360
CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,731.94,3,0.00,219.58,234.413360
US-2015-108966,10/11/2015,10/18/2015,"Standard Class",SO-20335,957.58,5,0.45,-383.03,234.413360
CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,907.15,6,0.20,90.72,234.413360
CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,1706.18,9,0.20,85.31,234.413360
CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,911.42,4,0.20,68.36,234.413360
CA-2016-161389,12/5/2016,12/10/2016,"Standard Class",IM-15070,407.98,3,0.20,132.59,234.413360
CA-2014-105893,11/11/2014,11/18/2014,"Standard Class",PK-19075,665.88,6,0.00,13.32,234.413360
CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",EB-13870,1044.63,3,0.00,240.26,234.413360
US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,3083.43,7,0.50,-1665.05,234.413360
CA-2016-117590,12/8/2016,12/10/2016,"First Class",GH-14485,1097.54,7,0.20,123.47,234.413360
CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,532.40,3,0.32,-46.98,234.413360
CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,371.17,4,0.20,41.76,234.413360
CA-2016-105816,12/11/2016,12/17/2016,"Standard Class",JM-15265,1029.95,5,0.00,298.69,234.413360
CA-2016-111682,6/17/2016,6/18/2016,"First Class",TB-21055,319.41,5,0.10,7.10,234.413360
CA-2014-106376,12/5/2014,12/10/2014,"Standard Class",BS-11590,1113.02,8,0.20,111.30,234.413360
US-2015-134026,4/26/2015,5/2/2015,"Standard Class",JE-15745,831.94,8,0.20,-114.39,234.413360
CA-2017-140088,5/28/2017,5/30/2017,"Second Class",PO-18865,301.96,2,0.00,33.22,234.413360
US-2015-156867,11/13/2015,11/17/2015,"Standard Class",LC-16870,238.90,6,0.20,-26.88,234.413360
CA-2015-129476,10/15/2015,10/20/2015,"Standard Class",PA-19060,339.96,5,0.20,67.99,234.413360
CA-2015-110457,3/2/2015,3/6/2015,"Standard Class",DK-13090,787.53,3,0.00,165.38,234.413360
US-2014-152030,12/26/2014,12/28/2014,"Second Class",AD-10180,600.56,3,0.30,-8.58,234.413360
US-2014-134614,9/20/2014,9/25/2014,"Standard Class",PF-19165,617.70,6,0.50,-407.68,234.413360
US-2017-107272,11/5/2017,11/12/2017,"Standard Class",TS-21610,243.99,7,0.20,30.50,234.413360
US-2016-125969,11/6/2016,11/10/2016,"Second Class",LS-16975,238.56,3,0.00,26.24,234.413360
CA-2017-155376,12/22/2017,12/27/2017,"Standard Class",SG-20080,839.43,3,0.00,218.25,234.413360
CA-2015-110744,9/7/2015,9/12/2015,"Standard Class",HA-14920,671.93,7,0.00,20.16,234.413360
CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,384.45,11,0.00,103.80,234.413360
CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,1951.84,8,0.00,585.55,234.413360
CA-2014-104269,3/1/2014,3/6/2014,"Second Class",DB-13060,457.57,2,0.20,51.48,234.413360
CA-2016-114104,11/20/2016,11/24/2016,"Standard Class",NP-18670,944.93,7,0.00,236.23,234.413360
CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,8159.95,8,0.40,-1359.99,234.413360
CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,275.93,3,0.20,-58.63,234.413360
CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,1740.06,9,0.30,-24.86,234.413360
CA-2014-118962,8/5/2014,8/9/2014,"Standard Class",CS-12130,340.14,7,0.20,21.26,234.413360
US-2015-101511,11/21/2015,11/23/2015,"Second Class",JE-15745,396.80,7,0.30,-11.34,234.413360
CA-2014-166191,12/5/2014,12/9/2014,"Second Class",DK-13150,408.74,7,0.20,76.64,234.413360
CA-2014-158274,11/19/2014,11/24/2014,"Second Class",RM-19675,503.96,4,0.00,131.03,234.413360
CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,899.14,4,0.20,112.39,234.413360
CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,626.35,3,0.20,46.98,234.413360
CA-2017-108329,12/9/2017,12/14/2017,"Standard Class",LE-16810,444.77,4,0.20,44.48,234.413360
CA-2015-146262,1/2/2015,1/9/2015,"Standard Class",VW-21775,452.45,5,0.50,-244.32,234.413360
CA-2015-146262,1/2/2015,1/9/2015,"Standard Class",VW-21775,1188.00,9,0.70,-950.40,234.413360
CA-2016-130162,10/28/2016,11/1/2016,"Standard Class",JH-15910,302.38,3,0.20,22.68,234.413360
CA-2015-169397,12/24/2015,12/27/2015,"First Class",JB-15925,479.99,4,0.70,-383.99,234.413360
CA-2015-163055,8/9/2015,8/16/2015,"Standard Class",DS-13180,622.45,5,0.00,136.94,234.413360
US-2015-145436,2/28/2015,3/4/2015,"Standard Class",VD-21670,389.70,8,0.20,43.84,234.413360
US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,620.61,3,0.45,-248.25,234.413360
US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,258.07,3,0.20,0.00,234.413360
US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,617.98,3,0.20,-7.72,234.413360
CA-2016-157749,6/4/2016,6/9/2016,"Second Class",KL-16645,419.68,5,0.60,-356.73,234.413360
CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,2001.86,7,0.00,580.54,234.413360
CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,1503.25,5,0.00,496.07,234.413360
CA-2016-154739,12/10/2016,12/15/2016,"Second Class",LH-17155,321.57,2,0.20,28.14,234.413360
CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,3347.37,13,0.00,636.00,234.413360
CA-2016-146941,12/10/2016,12/13/2016,"First Class",DL-13315,361.92,4,0.00,162.86,234.413360
US-2015-159982,11/28/2015,12/4/2015,"Standard Class",DR-12880,647.90,6,0.20,56.69,234.413360
US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,3059.98,3,0.40,-510.00,234.413360
US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,2519.96,7,0.40,-252.00,234.413360
CA-2016-125318,6/6/2016,6/13/2016,"Standard Class",RC-19825,328.22,4,0.20,28.72,234.413360
CA-2017-163979,12/28/2017,1/2/2018,"Second Class",KH-16690,725.84,4,0.00,210.49,234.413360
US-2015-161991,9/26/2015,9/28/2015,"Second Class",SC-20725,1114.40,7,0.20,376.11,234.413360
CA-2015-130890,11/2/2015,11/6/2015,"Standard Class",JO-15280,1038.84,5,0.20,51.94,234.413360
CA-2015-130883,9/26/2015,10/2/2015,"Standard Class",TB-21520,239.80,5,0.20,47.96,234.413360
CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,254.06,7,0.70,-169.37,234.413360
CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,961.48,5,0.20,-204.31,234.413360
CA-2016-110772,11/20/2016,11/24/2016,"Second Class",NZ-18565,255.98,2,0.20,54.40,234.413360
CA-2014-111451,12/26/2014,12/28/2014,"First Class",KL-16555,300.42,8,0.20,78.86,234.413360
CA-2014-111003,6/1/2014,6/6/2014,"Standard Class",CR-12625,289.20,6,0.00,83.87,234.413360
CA-2016-142902,9/12/2016,9/14/2016,"Second Class",BP-11185,466.77,2,0.20,52.51,234.413360
CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,3991.98,2,0.00,1995.99,234.413360
CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,275.94,6,0.00,80.02,234.413360
CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,360.00,4,0.00,129.60,234.413360
CA-2016-162138,4/23/2016,4/27/2016,"Standard Class",GK-14620,251.52,6,0.20,81.74,234.413360
US-2016-141544,8/30/2016,9/1/2016,"First Class",PO-18850,290.90,3,0.40,-67.88,234.413360
US-2016-141544,8/30/2016,9/1/2016,"First Class",PO-18850,786.74,4,0.30,-258.50,234.413360
CA-2015-137946,9/1/2015,9/4/2015,"Second Class",DB-13615,959.98,2,0.20,335.99,234.413360
CA-2014-129924,7/12/2014,7/17/2014,"Standard Class",AC-10420,698.35,3,0.20,-17.46,234.413360
CA-2014-122336,4/13/2014,4/17/2014,"Second Class",JD-15895,509.97,10,0.70,-407.98,234.413360
CA-2016-129714,9/1/2016,9/3/2016,"First Class",AB-10060,4355.17,4,0.20,1415.43,234.413360
CA-2016-138520,4/8/2016,4/13/2016,"Standard Class",JL-15505,388.70,6,0.20,-4.86,234.413360
CA-2017-155698,3/8/2017,3/11/2017,"First Class",VB-21745,647.84,8,0.00,168.44,234.413360
CA-2017-144904,9/25/2017,10/1/2017,"Standard Class",KW-16435,488.65,3,0.10,86.87,234.413360
CA-2016-155516,10/21/2016,10/21/2016,"Same Day",MK-17905,1043.92,4,0.00,271.42,234.413360
US-2014-119137,7/23/2014,7/27/2014,"Standard Class",AG-10900,1023.94,8,0.20,179.19,234.413360
US-2014-119137,7/23/2014,7/27/2014,"Standard Class",AG-10900,479.04,10,0.20,-29.94,234.413360
US-2017-134481,8/27/2017,9/1/2017,"Standard Class",AR-10405,1488.42,7,0.30,-297.68,234.413360
US-2015-168935,11/27/2015,12/2/2015,"Standard Class",DO-13435,375.46,3,0.45,-157.01,234.413360
CA-2015-122756,12/3/2015,12/7/2015,"Standard Class",DK-13225,482.34,4,0.70,-337.64,234.413360
US-2014-135972,9/21/2014,9/23/2014,"Second Class",JG-15115,246.38,2,0.20,27.72,234.413360
US-2014-135972,9/21/2014,9/23/2014,"Second Class",JG-15115,1799.97,3,0.00,701.99,234.413360
CA-2016-108987,9/8/2016,9/10/2016,"Second Class",AG-10675,2396.27,4,0.32,-317.15,234.413360
CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,1199.98,3,0.20,434.99,234.413360
CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,1004.02,7,0.20,-112.95,234.413360
CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,1336.83,13,0.15,31.45,234.413360
CA-2017-142636,11/3/2017,11/7/2017,"Standard Class",KC-16675,307.14,4,0.20,26.87,234.413360
CA-2016-148796,4/14/2016,4/18/2016,"Standard Class",PB-19150,383.80,5,0.20,38.38,234.413360
CA-2017-155705,8/21/2017,8/23/2017,"Second Class",NF-18385,866.40,4,0.00,225.26,234.413360
CA-2017-149160,11/23/2017,11/26/2017,"Second Class",JM-15265,287.92,8,0.00,138.20,234.413360
US-2016-123750,4/15/2016,4/21/2016,"Standard Class",RB-19795,408.74,7,0.20,76.64,234.413360
US-2016-123750,4/15/2016,4/21/2016,"Standard Class",RB-19795,291.96,5,0.20,54.74,234.413360
CA-2016-127369,6/6/2016,6/7/2016,"First Class",DB-13060,714.30,5,0.00,207.15,234.413360
US-2014-150574,12/19/2014,12/25/2014,"Standard Class",MK-18160,247.80,5,0.20,-18.59,234.413360
CA-2016-147375,6/12/2016,6/14/2016,"Second Class",PO-19180,1007.98,3,0.30,43.20,234.413360
