order_id,order_date,ship_date,ship_mode,customer_id,sales,quantity,discount,profit
CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,731.94,3,0.00,219.58
US-2015-108966,10/11/2015,10/18/2015,"Standard Class",SO-20335,957.58,5,0.45,-383.03
CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,1706.18,9,0.20,85.31
CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",EB-13870,1044.63,3,0.00,240.26
US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,3083.43,7,0.50,-1665.05
CA-2016-117590,12/8/2016,12/10/2016,"First Class",GH-14485,1097.54,7,0.20,123.47
CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,532.40,3,0.32,-46.98
CA-2016-105816,12/11/2016,12/17/2016,"Standard Class",JM-15265,1029.95,5,0.00,298.69
CA-2016-111682,6/17/2016,6/18/2016,"First Class",TB-21055,319.41,5,0.10,7.10
CA-2014-106376,12/5/2014,12/10/2014,"Standard Class",BS-11590,1113.02,8,0.20,111.30
CA-2015-129476,10/15/2015,10/20/2015,"Standard Class",PA-19060,339.96,5,0.20,67.99
CA-2015-110744,9/7/2015,9/12/2015,"Standard Class",HA-14920,671.93,7,0.00,20.16
CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,1951.84,8,0.00,585.55
CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,8159.95,8,0.40,-1359.99
CA-2014-118962,8/5/2014,8/9/2014,"Standard Class",CS-12130,340.14,7,0.20,21.26
CA-2014-166191,12/5/2014,12/9/2014,"Second Class",DK-13150,408.74,7,0.20,76.64
CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,899.14,4,0.20,112.39
CA-2016-130162,10/28/2016,11/1/2016,"Standard Class",JH-15910,302.38,3,0.20,22.68
CA-2015-169397,12/24/2015,12/27/2015,"First Class",JB-15925,479.99,4,0.70,-383.99
CA-2015-163055,8/9/2015,8/16/2015,"Standard Class",DS-13180,622.45,5,0.00,136.94
CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,2001.86,7,0.00,580.54
CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,3347.37,13,0.00,636.00
CA-2016-146941,12/10/2016,12/13/2016,"First Class",DL-13315,361.92,4,0.00,162.86
US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,3059.98,3,0.40,-510.00
CA-2016-125318,6/6/2016,6/13/2016,"Standard Class",RC-19825,328.22,4,0.20,28.72
US-2015-161991,9/26/2015,9/28/2015,"Second Class",SC-20725,1114.40,7,0.20,376.11
CA-2015-130890,11/2/2015,11/6/2015,"Standard Class",JO-15280,1038.84,5,0.20,51.94
CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,961.48,5,0.20,-204.31
CA-2014-111003,6/1/2014,6/6/2014,"Standard Class",CR-12625,289.20,6,0.00,83.87
CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,3991.98,2,0.00,1995.99
CA-2015-137946,9/1/2015,9/4/2015,"Second Class",DB-13615,959.98,2,0.20,335.99
CA-2014-129924,7/12/2014,7/17/2014,"Standard Class",AC-10420,698.35,3,0.20,-17.46
CA-2017-169901,6/15/2017,6/19/2017,"Standard Class",CC-12550,47.98,3,0.20,4.80
CA-2016-129714,9/1/2016,9/3/2016,"First Class",AB-10060,4355.17,4,0.20,1415.43
CA-2016-155516,10/21/2016,10/21/2016,"Same Day",MK-17905,1043.92,4,0.00,271.42
US-2014-119137,7/23/2014,7/27/2014,"Standard Class",AG-10900,1023.94,8,0.20,179.19
US-2017-134481,8/27/2017,9/1/2017,"Standard Class",AR-10405,1488.42,7,0.30,-297.68
US-2015-168935,11/27/2015,12/2/2015,"Standard Class",DO-13435,375.46,3,0.45,-157.01
US-2014-135972,9/21/2014,9/23/2014,"Second Class",JG-15115,1799.97,3,0.00,701.99
CA-2016-108987,9/8/2016,9/10/2016,"Second Class",AG-10675,2396.27,4,0.32,-317.15
CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,1336.83,13,0.15,31.45
CA-2016-147375,6/12/2016,6/14/2016,"Second Class",PO-19180,1007.98,3,0.30,43.20
CA-2016-109869,4/22/2016,4/29/2016,"Standard Class",TN-21040,1272.63,6,0.50,-814.48
US-2015-101399,1/17/2015,1/24/2015,"Standard Class",JS-15940,254.74,7,0.60,-312.06
CA-2016-100790,6/26/2016,7/2/2016,"Standard Class",JG-15805,704.25,5,0.00,84.51
CA-2014-127691,7/22/2014,7/27/2014,"Standard Class",EM-14065,159.98,2,0.00,57.59
CA-2017-140963,6/10/2017,6/13/2017,"First Class",MT-18070,514.17,5,0.15,-30.25
CA-2014-154627,10/29/2014,10/31/2014,"First Class",SA-20830,2735.95,6,0.20,341.99
CA-2014-113362,9/14/2014,9/19/2014,"Standard Class",AJ-10960,449.15,5,0.00,8.98
US-2016-105578,5/30/2016,6/4/2016,"Standard Class",MY-17380,801.57,2,0.20,50.10
CA-2015-145352,3/16/2015,3/22/2015,"Standard Class",CM-12385,6354.95,5,0.00,3177.48
CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,2999.95,5,0.00,1379.98
CA-2017-113558,10/21/2017,10/26/2017,"Standard Class",PH-18790,683.95,3,0.20,42.75
US-2017-129441,9/7/2017,9/11/2017,"Standard Class",JC-15340,47.94,3,0.00,2.40
US-2015-120161,12/18/2015,12/23/2015,"Standard Class",LM-17065,646.78,9,0.20,-145.52
CA-2017-162929,11/19/2017,11/22/2017,"First Class",AS-10135,41.28,6,0.20,13.93
CA-2017-100650,6/29/2017,7/3/2017,"Second Class",DK-13225,1295.78,2,0.00,310.99
CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,1199.98,3,0.20,434.99
CA-2014-149958,3/15/2014,3/19/2014,"Standard Class",AS-10240,142.78,1,0.20,17.85
CA-2016-115917,5/20/2016,5/25/2016,"Standard Class",RB-19465,1049.20,5,0.00,272.79
CA-2015-146563,8/24/2015,8/28/2015,"Standard Class",CB-12025,999.43,7,0.20,124.93
CA-2016-123666,3/26/2016,3/30/2016,"Standard Class",SP-20545,459.95,5,0.00,18.40
CA-2017-132682,6/8/2017,6/10/2017,"Second Class",TH-21235,381.58,3,0.20,28.62
US-2017-168116,11/4/2017,11/4/2017,"Same Day",GT-14635,7999.98,4,0.50,-3839.99
CA-2014-138527,9/12/2014,9/17/2014,"Standard Class",BN-11470,166.84,5,0.20,18.77
CA-2014-112158,12/2/2014,12/4/2014,"First Class",DP-13165,883.92,5,0.20,-110.49
CA-2016-142335,12/15/2016,12/19/2016,"Standard Class",MP-17965,1652.94,3,0.00,231.41
US-2016-150861,12/3/2016,12/6/2016,"First Class",EG-13900,542.65,3,0.10,102.50
CA-2017-131954,1/21/2017,1/25/2017,"Standard Class",DS-13030,242.94,3,0.00,9.72
CA-2016-140928,9/18/2016,9/22/2016,"Standard Class",NB-18655,383.44,4,0.45,-167.32
CA-2015-114923,2/8/2015,2/13/2015,"Standard Class",LH-17020,107.98,3,0.40,-27.00
CA-2014-162775,1/13/2014,1/15/2014,"Second Class",CS-12250,646.74,6,0.00,258.70
CA-2016-157245,5/19/2016,5/24/2016,"Standard Class",LE-16810,641.96,2,0.00,179.75
CA-2016-105256,5/20/2016,5/20/2016,"Same Day",JK-15730,1363.96,5,0.20,85.25
CA-2014-134313,11/1/2014,11/7/2014,"Standard Class",RA-19915,1983.97,4,0.20,248.00
CA-2017-143686,5/14/2017,5/14/2017,"Same Day",PJ-19015,1399.93,7,0.00,601.97
CA-2014-140858,6/28/2014,7/2/2014,"Standard Class",CA-12775,1228.47,5,0.30,0.00
CA-2016-158099,9/3/2016,9/5/2016,"First Class",PK-18910,1141.47,5,0.70,-760.98
CA-2014-148488,12/10/2014,12/15/2014,"Standard Class",SM-20005,106.34,7,0.20,37.22
CA-2017-111689,11/30/2017,12/2/2017,"Second Class",HP-14815,1242.90,5,0.10,262.39
CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,1928.78,7,0.00,829.38
CA-2016-149797,9/15/2016,9/20/2016,"Standard Class",AH-10075,841.57,2,0.20,294.55
CA-2016-140081,6/20/2016,6/24/2016,"Standard Class",CG-12040,447.70,2,0.20,33.58
