customer_id,total_sales,avg_total_sales
BH-11710,6255.34,2865.282093
IM-15070,4930.49,2865.282093
PK-19075,8158.65,2865.282093
TB-21520,4730.62,2865.282093
MA-17560,4280.62,2865.282093
SN-20710,3127.97,2865.282093
LC-16930,4481.16,2865.282093
RA-19885,3832.32,2865.282093
ES-14080,4648.52,2865.282093
KM-16720,4909.47,2865.282093
KD-16270,8282.36,2865.282093
JE-15745,6400.45,2865.282093
SC-20770,4492.68,2865.282093
CS-12400,3651.86,2865.282093
GM-14455,3078.63,2865.282093
RB-19465,4556.57,2865.282093
GZ-14470,4355.15,2865.282093
JM-15250,3145.36,2865.282093
CL-12565,10880.56,2865.282093
SC-20725,5226.20,2865.282093
AD-10180,6101.00,2865.282093
LS-16975,2988.65,2865.282093
LC-16885,7396.78,2865.282093
JD-15895,6456.46,2865.282093
SG-20080,3406.58,2865.282093
TW-21025,5164.62,2865.282093
DB-13060,4265.30,2865.282093
NP-18670,3896.64,2865.282093
TT-21070,4915.59,2865.282093
RD-19900,3133.92,2865.282093
MJ-17740,6282.23,2865.282093
BM-11140,11609.91,2865.282093
JK-15640,4752.45,2865.282093
RM-19675,5967.73,2865.282093
FM-14290,3736.20,2865.282093
MP-17470,3206.12,2865.282093
CB-12025,6028.24,2865.282093
FH-14365,6683.66,2865.282093
HK-14890,4877.80,2865.282093
JH-15985,7954.99,2865.282093
VW-21775,6112.70,2865.282093
DS-13180,2881.80,2865.282093
VD-21670,6283.36,2865.282093
DB-13120,2931.71,2865.282093
KL-16645,14071.92,2865.282093
DW-13480,5256.85,2865.282093
KC-16540,3908.27,2865.282093
DR-12880,6247.20,2865.282093
SB-20290,8057.89,2865.282093
AH-10210,4805.35,2865.282093
CB-12535,4123.52,2865.282093
KH-16690,5867.85,2865.282093
KL-16555,4483.77,2865.282093
AS-10225,4249.00,2865.282093
BP-11185,3610.29,2865.282093
TS-21205,5371.11,2865.282093
SP-20860,4028.57,2865.282093
NM-18445,6459.34,2865.282093
FA-14230,2984.05,2865.282093
GK-14620,6497.28,2865.282093
PO-18850,7367.34,2865.282093
AB-10060,7732.68,2865.282093
JL-15505,3142.74,2865.282093
KW-16435,4416.52,2865.282093
AG-10900,4510.79,2865.282093
RA-19915,4781.35,2865.282093
AS-10285,3212.28,2865.282093
LA-16780,8631.53,2865.282093
DK-13225,4125.84,2865.282093
AG-10675,3489.06,2865.282093
LF-17185,3930.52,2865.282093
KH-16510,5952.86,2865.282093
CJ-12010,11079.74,2865.282093
MP-17965,3983.65,2865.282093
NF-18385,8322.82,2865.282093
SD-20485,5920.24,2865.282093
KH-16630,3918.96,2865.282093
RB-19795,5633.31,2865.282093
PO-19180,4893.05,2865.282093
BB-11545,6765.73,2865.282093
RB-19360,15117.35,2865.282093
EB-13705,3448.27,2865.282093
SC-20095,14142.34,2865.282093
TN-21040,3130.23,2865.282093
JP-15520,3572.94,2865.282093
SA-20830,4708.52,2865.282093
RO-19780,3815.47,2865.282093
MD-17350,3766.40,2865.282093
CM-12385,8954.01,2865.282093
BD-11605,3288.48,2865.282093
MG-18145,2890.59,2865.282093
KB-16240,3152.61,2865.282093
RL-19615,6234.91,2865.282093
EP-13915,5478.06,2865.282093
BD-11500,4408.30,2865.282093
BD-11320,5672.18,2865.282093
GT-14710,11820.12,2865.282093
OT-18730,3818.62,2865.282093
CA-12775,3041.58,2865.282093
FP-14320,4046.75,2865.282093
EB-13840,4344.51,2865.282093
SF-20200,3422.78,2865.282093
CS-11950,3027.74,2865.282093
DV-13465,3285.98,2865.282093
ZC-21910,8021.13,2865.282093
LR-16915,5142.89,2865.282093
TP-21130,4454.06,2865.282093
CK-12205,3154.83,2865.282093
SF-20965,3306.87,2865.282093
AT-10735,3831.87,2865.282093
JD-16150,8828.04,2865.282093
JL-15835,9403.02,2865.282093
SC-20305,3971.06,2865.282093
