customer_id,order_id,sales,row_num
AA-10315,CA-2016-103982,3930.07,1
AA-10315,CA-2014-128055,673.57,2
AA-10315,CA-2016-103982,431.98,3
AA-10315,CA-2017-147039,362.94,4
AA-10315,CA-2014-128055,52.98,5
AA-10315,CA-2016-103982,41.72,6
AA-10315,CA-2015-121391,26.96,7
AA-10315,CA-2014-138100,14.94,8
AA-10315,CA-2014-138100,14.56,9
AA-10315,CA-2017-147039,11.54,10
AA-10315,CA-2016-103982,2.30,11
AA-10375,CA-2016-131065,499.98,1
AA-10375,CA-2015-140921,149.97,2
AA-10375,CA-2017-100230,116.98,3
AA-10375,CA-2015-114503,84.96,4
AA-10375,US-2017-169488,39.96,5
AA-10375,CA-2014-130729,34.27,6
AA-10375,CA-2015-140921,28.40,7
AA-10375,CA-2017-100230,17.94,8
AA-10375,US-2017-169488,16.90,9
AA-10375,CA-2016-126613,16.77,10
AA-10375,CA-2014-158064,16.52,11
AA-10375,CA-2017-100230,14.95,12
AA-10375,CA-2016-131065,8.26,13
AA-10375,CA-2016-131065,5.28,14
AA-10375,CA-2015-109939,5.25,15
AA-10480,CA-2016-114601,479.97,1
AA-10480,CA-2016-114601,447.84,2
AA-10480,CA-2016-121671,265.17,3
AA-10480,CA-2016-121671,242.94,4
AA-10480,CA-2016-114601,209.97,5
AA-10480,CA-2016-121671,51.84,6
AA-10480,CA-2014-155271,27.46,7
AA-10480,CA-2016-121671,21.93,8
AA-10480,CA-2017-114412,15.55,9
AA-10480,CA-2016-114601,11.56,10
AA-10480,CA-2016-114601,8.64,11
AA-10645,CA-2015-110863,1323.90,1
AA-10645,CA-2016-147137,1279.17,2
AA-10645,CA-2014-154963,853.93,3
AA-10645,CA-2014-143210,271.90,4
AA-10645,CA-2014-154963,170.06,5
AA-10645,CA-2016-131205,129.92,6
AA-10645,CA-2016-131205,113.94,7
AA-10645,CA-2015-110863,106.32,8
AA-10645,CA-2014-154963,82.78,9
AA-10645,CA-2016-131205,42.60,10
AA-10645,CA-2016-147137,27.92,11
AA-10645,CA-2016-147137,25.40,12
AA-10645,CA-2017-157196,12.96,13
AA-10645,CA-2014-143210,9.82,14
AA-10645,CA-2016-131205,5.28,15
AB-10015,CA-2016-140935,341.96,1
AB-10015,CA-2014-156587,242.94,2
AB-10015,CA-2016-140935,221.98,3
AB-10015,CA-2014-156587,48.71,4
AB-10015,CA-2014-156587,17.94,5
AB-10015,CA-2014-152905,12.62,6
AB-10060,CA-2016-129714,4355.17,1
AB-10060,CA-2017-107174,2036.86,2
AB-10060,CA-2017-107174,449.57,3
AB-10060,CA-2017-118213,167.94,4
AB-10060,US-2016-108637,160.32,5
AB-10060,US-2016-108637,127.88,6
AB-10060,CA-2017-107174,108.96,7
AB-10060,CA-2017-159688,79.99,8
AB-10060,CA-2017-118213,67.80,9
AB-10060,CA-2016-129714,49.12,10
AB-10060,US-2016-108637,46.00,11
AB-10060,CA-2016-161207,27.93,12
AB-10060,CA-2016-129714,24.56,13
AB-10060,CA-2017-134173,20.74,14
AB-10060,CA-2016-129714,6.79,15
AB-10060,CA-2016-129714,3.05,16
AB-10105,CA-2016-117121,9892.74,1
AB-10105,CA-2014-103100,1103.97,2
AB-10105,CA-2017-101042,821.88,3
AB-10105,CA-2017-153822,471.92,4
AB-10105,CA-2017-126788,470.38,5
AB-10105,US-2016-122245,393.17,6
AB-10105,CA-2017-121643,344.70,7
AB-10105,CA-2015-163181,287.91,8
AB-10105,CA-2015-163181,177.65,9
AB-10105,CA-2017-153822,89.58,10
AB-10105,CA-2015-163181,84.78,11
AB-10105,CA-2015-163181,64.96,12
AB-10105,CA-2017-140781,39.82,13
AB-10105,CA-2015-163181,32.06,14
AB-10105,CA-2015-163181,23.64,15
AB-10105,CA-2017-101042,21.96,16
AB-10105,CA-2017-153822,18.18,17
