item_id,order_id,product_id,quantity,unit_price,discount_percent
I000001,O000172,P0193,3,55885.69,10
I000002,O000702,P0070,3,49759.04,30
I000003,O000014,P0037,3,26158.29,10
I000004,O000105,P0042,5,56214.95,20
I000005,O000707,P0158,5,9857.82,25
I000006,O000822,P0194,4,14270.42,5
I000007,O000492,P0005,3,42034.02,20
I000008,O000782,P0134,2,46928.33,30
I000009,O000228,P0031,2,11502.11,5
I000010,O000081,P0034,1,25902.38,30
I000011,O000044,P0111,1,68375.5,0
I000012,O000122,P0121,1,61766.28,30
I000013,O000802,P0025,5,77568.23,5
I000014,O000360,P0172,2,28508.23,20
I000015,O000361,P0090,5,24737.6,20
I000016,O000070,P0146,5,54630.59,25
I000017,O000988,P0050,-5,13588.46,5
I000018,O000872,P0130,3,57040.95,25
I000019,O000186,P0028,4,59741.65,15
I000020,O000780,P0029,1,34011.63,15
I000021,O000370,P0196,5,52274.46,15
I000022,O000395,P0030,5,28495.83,30
I000023,O000232,P0114,3,34321.68,30
I000024,O000917,P0018,4,28052.88,0
I000025,O000504,P0173,4,56697.31,0
I000026,O000147,P0031,5,14264.03,5
I000027,O000373,P0017,3,39113.19,15
I000028,O000239,P0032,4,58667.75,20
I000029,O000280,P0152,4,52282.61,15
I000030,O000524,P0125,4,69999.29,15
I000031,O000644,P0060,1,3370.36,0
I000032,O000695,P0128,2,43920.38,5
I000033,O000637,P0078,1,38914.67,15
I000034,O000207,P0120,4,50039.85,10
I000035,O000560,P0139,1,49121.05,0
I000036,O000461,P0099,4,2808.92,5
I000037,O000676,P0143,3,33234.23,15
I000038,O000320,P0035,4,25637.47,15
I000039,O000568,P0169,5,63652.09,5
I000040,O000058,P0130,4,63562.84,25
I000041,O000785,P0091,3,15798.82,5
I000042,O000358,P0094,-5,1741.84,10
I000043,O000100,P0098,3,44614.87,5
I000044,O000241,P0064,5,61183.5,30
I000045,O000118,P0079,1,5270.59,25
I000046,O000582,P0109,4,24243.93,20
I000047,O000325,P0006,4,1075.63,15
I000048,O000708,P0026,3,16832.51,25
I000049,O000171,P0087,3,16280.04,25
I000050,O000861,P0020,2,3829.27,20
I000051,O000824,P0103,1,61832.15,20
I000052,O000280,P0087,5,16356.39,30
I000053,O000668,P0020,5,4782.87,20
I000054,O000205,P0081,3,32506.97,30
I000055,O000185,P0141,5,78545.73,5
I000056,O000986,P0170,4,29940.0,30
I000057,O000874,P0158,4,9920.5,0
I000058,O000206,P0134,2,68958.77,30
I000059,O000865,P0077,3,77316.2,25
I000060,O000867,P0053,3,60739.44,20
I000061,O000416,P0061,2,6725.19,30
I000062,O000476,P0080,4,80001.0,5
I000063,O000280,P0041,3,28886.82,20
I000064,O000660,P0046,4,59619.24,0
I000065,O000617,P0081,1,31737.72,10
I000066,O000674,P0172,4,25967.65,5
I000067,O000115,P0061,5,7789.96,30
I000068,O000973,P0149,5,7190.38,5
I000069,O000126,P0154,3,12559.55,15
I000070,O000762,P0192,4,26133.6,5
I000071,O000451,P0071,5,65837.71,25
I000072,O000325,P0029,4,41481.52,30
I000073,O000372,P0038,3,23208.37,20
I000074,O000862,P0009,1,47077.14,5
I000075,O000566,P0065,3,56310.02,20
I000076,O000879,P0061,1,7293.03,10
I000077,O000093,P0078,2,45454.58,5
I000078,O000647,P0113,4,67382.75,0
I000079,O000964,P0200,4,9799.96,15
I000080,O000845,P0026,3,13485.6,20
I000081,O000833,P0187,3,50545.28,0
I000082,O000657,P0165,4,65321.09,15
I000083,O000644,P0052,5,2621.48,20
I000084,O000993,P0183,2,86479.0,30
I000085,O000463,P0082,2,87020.62,30
I000086,O000819,P0084,1,19395.92,15
I000087,O000230,P0147,1,11651.66,25
I000088,O000929,P0059,4,80839.2,5
I000089,O000411,P0013,5,20560.39,10
I000090,O000970,P0044,1,57769.38,15
I000091,O000507,P0173,2,62039.59,30
I000092,O000295,P0069,4,79619.67,20
I000093,O000844,P0056,2,8038.31,5
I000094,O000298,P0008,2,50749.7,10
I000095,O000701,P0150,-1,39969.16,10
I000096,O000408,P0178,4,42798.46,10
I000097,O000098,P0019,1,57743.05,10
I000098,O000962,P0156,5,46963.97,0
I000099,O000517,P0065,3,55949.62,5
I000100,O000043,P0144,3,2003.2,10
I000101,O000136,P0120,5,50004.08,10
I000102,O000131,P0012,3,10650.79,10
I000103,O000628,P0068,3,14992.29,5
I000104,O000755,P0081,2,40322.78,25
I000105,O000055,P0113,1,58336.24,10
I000106,O000723,P0042,1,80812.55,0
I000107,O000366,P0114,5,35479.29,30
I000108,O000888,P0185,3,43574.06,5
I000109,O000768,P0044,3,64575.13,5
I000110,O999885,P0150,5,59234.38,5
I000111,O000511,P0197,-3,6975.54,25
I000112,O000404,P0032,1,43832.64,0
I000113,O000851,P0118,4,19816.23,20
I000114,O000006,P0169,1,75647.59,10
I000115,O000752,P0188,5,17621.7,30
I000116,O000290,P0165,1,81732.84,20
I000117,O000095,P0098,2,65093.61,15
I000118,O000022,P0023,2,38686.96,25
I000119,O000978,P0193,1,58856.07,25
I000120,O000926,P0080,2,53079.3,10
I000121,O000205,P0132,4,12864.05,15
I000122,O000775,P0024,3,27186.86,15
I000123,O000042,P0024,4,30188.0,25
I000124,O000954,P0040,5,45395.61,0
I000125,O000308,P0123,2,2033.12,5
I000126,O000438,P0134,1,74203.92,20
I000127,O000523,P0028,1,65853.26,30
I000128,O000364,P0065,1,39071.59,25
I000129,O000474,P0170,2,21640.15,15
I000130,O000305,P0181,4,61492.37,30
I000131,O000350,P0068,2,12223.08,20
I000132,O000893,P0067,4,1216.36,0
I000133,O000176,P0004,4,74765.0,25
I000134,O000744,P0155,5,13900.83,25
I000135,O000987,P0173,4,41701.47,5
I000136,O000196,P0004,1,53284.74,0
I000137,O000493,P0054,2,47216.18,30
I000138,O000196,P0138,4,56482.6,0
I000139,O000925,P0043,4,19307.17,30
I000140,O000600,P0116,3,46681.05,0
