product_id,product_name,category,subcategory,cost_price
P0001,Harry Potter,Books,Fiction,32121.05
P0002,Oneplus 12,Electronics,Mobile,12254.09
P0003,Jeans,Clothing,Men,29360.52
P0004,Dress,Clothing,Women,39453.32
P0005,Mixer Grinder,Home,Kitchen,27056.75
P0006,Samsung Galaxy S24,Electronics,Mobile,841.53
P0007,Shorts,Clothing,Kids,887.48
P0008,Shorts,Clothing,Kids,26351.67
P0009,Dbms,Books,Education,25710.57
P0010,Kids T-Shirt,Clothing,Kids,36389.43
P0011,Study Table,Home,Furniture,48204.91
P0012,Computer Networks,Books,Education,5487.3
P0013,Harry Potter,Books,Fiction,16173.38
P0014,Top,Clothing,Women,19107.13
P0015,Study Table,Home,Furniture,30310.8
P0016,Lenovo Ideapad,Electronics,Laptop,22632.59
P0017,Dining Table,Home,Furniture,20857.88
P0018,Lamp,Home,Decor,18777.62
P0019,Harry Potter,Books,Fiction,41605.42
P0020,Microwave,Home,Kitchen,3093.05
P0021,Wall Clock,Home,Decor,20599.35
P0022,Marvel Comics,Books,Comics,48423.09
P0023,Microwave,Home,Kitchen,25419.89
P0024,Harry Potter,Books,Fiction,17570.69
P0025,Usb Hub,Electronics,Accessories,40380.35
P0026,Logitech Mouse,Electronics,Accessories,9102.76
P0027,Dining Table,Home,Furniture,404.68
P0028,Harry Potter,Books,Fiction,37074.36
P0029,Lenovo Ideapad,Electronics,Laptop,21049.64
P0030,Study Table,Home,Furniture,16286.71
P0031,Samsung Galaxy S24,Electronics,Mobile,7954.75
P0032,Laptop Stand,Electronics,Accessories,33130.74
P0033,Dbms,Books,Education,10856.89
P0034,Office Chair,Home,Furniture,14234.0
P0035,Naruto,Books,Comics,15490.13
P0036,Samsung Galaxy S24,Electronics,Mobile,15140.83
P0037,Top,Clothing,Women,16473.31
P0038,Harry Potter,Books,Fiction,19072.35
P0039,Pressure Cooker,Home,Kitchen,43102.04
P0040,The Alchemist,Books,Fiction,28830.38
P0041,Operating Systems,Books,Education,20311.11
P0042,Shorts,Clothing,Kids,41618.09
P0043,Boat Earbuds,Electronics,Audio,12241.49
P0044,Sony Headphones,Electronics,Audio,37315.66
P0045,Men'S T-Shirt,Clothing,Men,26577.18
P0046,Study Table,Home,Furniture,47915.35
P0047,Men'S T-Shirt,Clothing,Men,7407.57
P0048,Kids T-Shirt,Clothing,Kids,8939.59
P0049,Computer Networks,Books,Education,38017.87
P0050,Lamp,Home,Decor,7632.77
P0051,Study Table,Home,Furniture,2902.99
P0052,Dining Table,Home,Furniture,1976.6
P0053,Microwave,Home,Kitchen,43226.08
P0054,Computer Networks,Books,Education,27760.39
P0055,Jbl Speaker,Electronics,Audio,16144.19
P0056,Shirt,Clothing,Men,5264.74
P0057,Wall Clock,Home,Decor,25277.0
P0058,Shorts,Clothing,Kids,49550.2
P0059,Top,Clothing,Women,45905.05
P0060,Flower Vase,Home,Decor,2713.04
P0061,Pressure Cooker,Home,Kitchen,4815.85
P0062,Study Table,Home,Furniture,42593.16
P0063,Kurti,Clothing,Women,29178.7
P0064,Study Table,Home,Furniture,34954.15
P0065,Laptop Stand,Electronics,Accessories,32210.31
P0066,Jacket,Clothing,Kids,41465.05
P0067,Sony Headphones,Electronics,Audio,1009.7
P0068,Jeans,Clothing,Women,9681.06
P0069,Hoodie,Clothing,Men,42236.98
P0070,Usb Hub,Electronics,Accessories,29902.6
P0071,Jacket,Clothing,Kids,40471.28
P0072,The Alchemist,Books,Fiction,18278.54
P0073,Batman,Books,Comics,37644.32
P0074,Kids T-Shirt,Clothing,Kids,15542.45
P0075,The Alchemist,Books,Fiction,33947.51
P0076,Dbms,Books,Education,38928.39
P0077,Harry Potter,Books,Fiction,40082.84
P0078,Microwave,Home,Kitchen,24081.47
P0079,Oneplus 12,Electronics,Mobile,4285.37
P0080,Marvel Comics,Books,Comics,41569.23
P0081,Operating Systems,Books,Education,20803.36
P0082,Pressure Cooker,Home,Kitchen,49726.82
P0083,Logitech Mouse,Electronics,Accessories,41974.9
P0084,Men'S T-Shirt,Clothing,Men,14415.28
P0085,Shorts,Clothing,Kids,22485.21
P0086,Usb Hub,Electronics,Accessories,41764.66
P0087,The Alchemist,Books,Fiction,11958.25
P0088,Jeans,Clothing,Women,3234.08
P0089,Naruto,Books,Comics,920.12
P0090,Kids T-Shirt,Clothing,Kids,14634.47
P0091,Shorts,Clothing,Kids,9446.96
P0092,Microwave,Home,Kitchen,27249.69
P0093,Airpods,Electronics,Audio,2272.37
P0094,Study Table,Home,Furniture,910.49
P0095,Microwave,Home,Kitchen,32889.51
P0096,Mixer Grinder,Home,Kitchen,17679.72
P0097,Shorts,Clothing,Kids,49042.88
P0098,Men'S T-Shirt,Clothing,Men,35830.65
P0099,Usb Hub,Electronics,Accessories,2285.93
P0100,Keyboard,Electronics,Accessories,25817.64
P0101,Operating Systems,Books,Education,37689.22
P0102,Microwave,Home,Kitchen,16663.04
P0103,Dining Table,Home,Furniture,37191.05
P0104,Operating Systems,Books,Education,24860.54
P0105,Microwave,Home,Kitchen,21282.53
P0106,Shorts,Clothing,Kids,16128.45
P0107,Dining Table,Home,Furniture,30170.82
P0108,Dbms,Books,Education,2213.52
P0109,Lamp,Home,Decor,13800.31
P0110,Nothing Phone 3,Electronics,Mobile,18229.23
P0111,Jeans,Clothing,Men,42448.6
P0112,Harry Potter,Books,Fiction,3454.94
P0113,Dining Table,Home,Furniture,47478.41
P0114,Dbms,Books,Education,22252.57
P0115,Dining Table,Home,Furniture,32513.08
P0116,Samsung Galaxy S24,Electronics,Mobile,25002.29
