cohort_month,order_month,customers
2023-07,20,1
2023-07,23,1
2023-07,24,1
2023-07,25,1
2023-07,27,1
2023-07,29,1
2023-07,33,1
2023-07,35,1
2023-08,12,1
2023-08,14,2
2023-08,15,5
2023-08,16,1
2023-08,17,2
2023-08,19,2
2023-08,23,1
2023-08,24,2
2023-08,27,2
2023-08,28,1
2023-08,29,3
2023-08,31,1
2023-08,32,1
2023-08,33,1
2023-08,34,1
2023-09,10,2
2023-09,11,3
2023-09,12,2
2023-09,13,2
2023-09,14,1
2023-09,15,2
2023-09,17,2
2023-09,18,2
2023-09,19,2
2023-09,20,2
2023-09,21,5
2023-09,22,3
2023-09,23,3
2023-09,24,2
2023-09,25,1
2023-09,26,2
2023-09,27,2
2023-09,28,2
2023-09,29,2
2023-09,31,1
2023-09,32,1
2023-09,34,1
2023-10,9,2
2023-10,10,2
2023-10,11,2
2023-10,12,1
2023-10,13,1
2023-10,14,1
2023-10,15,4
2023-10,16,2
2023-10,17,2
2023-10,18,2
2023-10,19,2
2023-10,20,1
2023-10,23,1
2023-10,24,2
2023-10,27,1
2023-10,28,1
2023-10,30,2
2023-11,11,2
2023-11,12,2
2023-11,13,1
2023-11,14,2
2023-11,15,1
2023-11,16,2
2023-11,17,3
2023-11,18,1
2023-11,19,1
2023-11,20,2
2023-11,21,1
2023-11,22,3
2023-11,23,1
2023-11,24,2
2023-11,25,3
2023-11,26,1
2023-11,27,2
2023-11,28,1
2023-11,29,1
2023-11,30,2
2023-12,7,2
2023-12,8,3
2023-12,9,2
2023-12,10,1
2023-12,11,2
2023-12,12,2
2023-12,13,2
2023-12,14,3
2023-12,17,1
2023-12,18,1
2023-12,19,2
2023-12,20,2
2023-12,21,1
2023-12,22,1
2023-12,23,1
2023-12,24,1
2023-12,25,1
2023-12,27,3
2023-12,28,1
2023-12,30,1
2024-01,5,1
2024-01,6,3
2024-01,7,1
2024-01,8,1
2024-01,9,4
2024-01,10,5
2024-01,11,4
2024-01,12,1
2024-01,14,1
2024-01,15,1
2024-01,17,1
2024-01,20,1
2024-01,21,2
2024-01,22,2
2024-01,23,1
2024-01,24,1
2024-01,27,2
2024-01,28,1
2024-02,8,1
2024-02,9,1
2024-02,10,1
2024-02,11,1
2024-02,13,1
2024-02,17,2
2024-02,19,1
2024-02,22,1
2024-02,24,1
2024-02,26,1
2024-02,27,1
2024-02,28,1
2024-03,4,1
2024-03,5,1
2024-03,9,2
2024-03,15,1
2024-03,17,1
2024-03,19,2
2024-03,21,2
2024-03,22,1
2024-03,23,1
2024-03,24,1
2024-03,25,1
2024-03,26,1
2024-03,27,3
2024-04,5,2
2024-04,7,1
2024-04,8,1
2024-04,9,1
2024-04,10,1
2024-04,11,1
2024-04,12,1
2024-04,13,1
2024-04,14,1
2024-04,15,1
2024-04,16,1
2024-04,18,3
2024-04,20,1
2024-04,21,2
2024-04,22,1
2024-04,23,1
2024-04,24,1
2024-04,26,3
2024-05,2,2
2024-05,4,1
2024-05,5,1
2024-05,7,3
2024-05,8,1
2024-05,9,3
2024-05,12,1
2024-05,13,2
2024-05,14,2
2024-05,16,2
2024-05,17,2
2024-05,18,2
2024-05,19,2
2024-05,20,1
2024-05,21,1
2024-05,22,3
2024-05,24,1
2024-05,26,1
2024-06,2,1
2024-06,4,5
2024-06,5,1
2024-06,6,4
2024-06,8,1
2024-06,9,1
2024-06,12,1
2024-06,13,3
2024-06,14,2
2024-06,18,2
2024-06,20,1
2024-06,21,1
2024-06,22,1
2024-06,24,1
2024-07,0,1
2024-07,1,1
2024-07,2,1
2024-07,3,1
2024-07,5,1
2024-07,6,2
2024-07,7,1
2024-07,8,1
2024-07,10,1
2024-07,11,2
2024-07,12,1
2024-07,13,1
2024-07,14,1
2024-07,15,3
2024-07,17,1
2024-07,18,1
2024-07,21,2
2024-07,22,1
2024-08,0,1
2024-08,1,2
2024-08,2,1
2024-08,3,1
2024-08,4,1
2024-08,5,2
2024-08,6,2
2024-08,7,1
2024-08,8,2
2024-08,9,2
2024-08,11,2
2024-08,12,3
2024-08,13,1
2024-08,16,1
2024-08,19,1
2024-08,20,1
2024-08,23,1
2024-09,0,1
2024-09,2,1
2024-09,3,1
2024-09,6,2
2024-09,7,3
2024-09,8,1
2024-09,9,2
2024-09,10,1
2024-09,11,1
2024-09,12,2
2024-09,14,1
2024-09,16,1
2024-09,17,1
2024-09,18,2
2024-09,21,1
2024-10,-1,1
2024-10,0,2
2024-10,1,1
2024-10,2,2
2024-10,3,2
2024-10,4,1
2024-10,6,1
2024-10,7,1
2024-10,8,3
2024-10,9,2
2024-10,10,3
2024-10,11,1
2024-10,12,1
2024-10,13,1
2024-10,16,1
2024-10,17,2
2024-10,19,3
2024-11,-4,1
2024-11,-2,1
2024-11,0,1
2024-11,1,1
2024-11,5,1
2024-11,6,1
2024-11,8,1
2024-11,10,1
2024-11,12,2
2024-11,13,3
2024-11,16,1
2024-11,18,2
2024-11,19,1
2024-12,-4,2
2024-12,-3,2
2024-12,-2,1
2024-12,-1,1
2024-12,0,1
2024-12,3,2
2024-12,4,1
2024-12,7,1
2024-12,8,1
2024-12,9,2
2024-12,12,1
2024-12,14,2
2024-12,17,1
2024-12,18,1
2025-01,-2,1
2025-01,-1,3
2025-01,0,3
2025-01,1,1
2025-01,3,2
2025-01,5,1
2025-01,6,3
2025-01,7,3
2025-01,8,1
2025-01,9,1
2025-01,11,1
2025-01,12,1
2025-01,13,2
2025-01,14,1
2025-01,16,2
2025-01,17,1
2025-02,-6,1
2025-02,-4,1
2025-02,-2,3
2025-02,-1,1
2025-02,0,2
2025-02,1,1
2025-02,3,4
2025-02,4,2
2025-02,5,1
2025-02,6,1
2025-02,7,3
2025-02,8,1
2025-02,9,1
2025-02,10,1
2025-02,11,1
2025-02,13,1
2025-02,14,2
2025-03,-5,1
2025-03,-4,2
2025-03,-2,3
2025-03,-1,2
2025-03,0,3
2025-03,4,1
2025-03,7,1
2025-03,8,3
2025-03,9,2
2025-03,10,2
2025-03,11,3
2025-03,12,1
2025-03,13,1
2025-03,15,3
2025-04,-8,1
2025-04,-6,1
2025-04,-5,1
2025-04,-4,1
2025-04,-3,1
2025-04,-2,1
2025-04,0,4
2025-04,1,2
2025-04,4,2
2025-04,5,1
2025-04,9,1
2025-04,10,1
2025-04,12,1
2025-05,-10,1
2025-05,-9,1
2025-05,-6,3
2025-05,-5,3
2025-05,-4,1
2025-05,-2,1
2025-05,-1,2
2025-05,0,2
2025-05,1,2
2025-05,2,1
2025-05,4,2
2025-05,5,3
2025-05,6,3
2025-05,7,2
2025-05,9,2
2025-05,10,1
2025-05,11,2
2025-05,12,1
2025-06,-10,2
2025-06,-9,1
2025-06,-8,1
2025-06,-6,1
2025-06,-5,1
2025-06,-4,1
2025-06,-3,2
2025-06,-1,3
2025-06,0,1
2025-06,1,1
2025-06,2,2
2025-06,3,1
2025-06,6,1
2025-06,8,1
2025-06,9,3
2025-06,11,1
2025-06,12,1
2025-07,-11,1
2025-07,-10,3
2025-07,-9,1
2025-07,-7,1
2025-07,-6,3
2025-07,-5,2
2025-07,-4,4
2025-07,-3,2
2025-07,-2,2
2025-07,-1,1
2025-07,0,3
2025-07,1,1
2025-07,2,3
2025-07,3,2
2025-07,6,2
2025-07,7,1
2025-07,8,3
2025-07,9,2
2025-07,10,1
2025-07,11,1
2025-08,-12,2
2025-08,-11,2
2025-08,-9,1
2025-08,-8,1
2025-08,-6,1
2025-08,-4,1
2025-08,-3,2
2025-08,-1,1
2025-08,0,4
2025-08,1,1
2025-08,2,1
2025-08,3,1
2025-08,5,1
2025-08,6,1
2025-08,8,1
2025-08,9,2
2025-08,10,1
2025-09,-13,2
2025-09,-10,1
2025-09,-6,1
2025-09,-5,1
2025-09,-3,1
2025-09,1,2
2025-09,3,1
2025-09,6,1
2025-09,7,1
2025-09,8,1
2025-09,9,1
