product_a,product_b,times_bought_together
"Harry Potter",Microwave,15
Shorts,"Harry Potter",15
Shorts,"Operating Systems",13
"Harry Potter",Top,13
Shorts,"Wall Clock",12
"Dining Table",Shorts,12
Shorts,Lamp,12
"Harry Potter","Operating Systems",12
"Usb Hub","Dining Table",11
"Harry Potter","Dining Table",11
Top,"Sony Headphones",11
"Harry Potter",Shorts,11
"Dining Table","Flower Vase",10
Top,Shorts,10
Shorts,Top,10
Shorts,Shorts,10
Shorts,"Dining Table",10
"Harry Potter","Study Table",9
"Samsung Galaxy S24","The Alchemist",9
"Study Table","Operating Systems",9
"Dining Table","Operating Systems",9
"Computer Networks","Harry Potter",9
Shorts,Shirt,9
"Study Table",Top,9
"Dining Table",Naruto,9
Shorts,"Office Chair",9
"Harry Potter","Wall Clock",9
Shorts,"Mixer Grinder",9
"Dining Table","Laptop Stand",9
Microwave,"Wall Clock",8
"Dining Table","Wall Clock",8
Microwave,Top,8
Shorts,Microwave,8
"Computer Networks","Pressure Cooker",8
Shorts,Jeans,8
"Samsung Galaxy S24",Microwave,8
"Computer Networks",Microwave,8
"Dining Table",Hoodie,8
"Study Table","The Alchemist",8
"Samsung Galaxy S24",Shorts,8
Top,"Harry Potter",8
"Harry Potter","The Alchemist",8
"Study Table",Lamp,8
Microwave,Shirt,8
Microwave,Dbms,8
"Study Table",Shorts,8
"Harry Potter","Sony Headphones",8
"Samsung Galaxy S24","Dining Table",8
Microwave,Naruto,7
"Samsung Galaxy S24","Mixer Grinder",7
Top,"Operating Systems",7
Lamp,"Dining Table",7
"Dining Table","Dining Table",7
"Study Table","Laptop Stand",7
Top,Shirt,7
"Kids T-Shirt",Top,7
"Wall Clock",Microwave,7
"Study Table","Wall Clock",7
"Harry Potter",Dbms,7
"Laptop Stand","Dining Table",7
"Usb Hub",Naruto,7
"Oneplus 12",Microwave,7
"Study Table","Mixer Grinder",7
"Dining Table","Harry Potter",7
"Dining Table",Top,7
Top,"Dining Table",7
"Mixer Grinder",Lamp,7
Shorts,"Flower Vase",7
"Harry Potter",Shirt,7
"Kids T-Shirt",Shorts,7
Microwave,Jeans,7
Microwave,Shorts,7
Shorts,"The Alchemist",7
Shorts,"Sony Headphones",7
Lamp,Lamp,7
"Oneplus 12","Study Table",6
Lamp,"Wall Clock",6
Shorts,"Samsung Galaxy S24",6
"Operating Systems",Naruto,6
"Harry Potter","Pressure Cooker",6
"Mixer Grinder","Dining Table",6
"Kids T-Shirt","Wall Clock",6
"Study Table","Sony Headphones",6
"The Alchemist",Lamp,6
Shorts,"Study Table",6
"Kids T-Shirt",Microwave,6
"Flower Vase","Dining Table",6
Microwave,"Dining Table",6
Dbms,"Operating Systems",6
"Computer Networks","Operating Systems",6
Dbms,"Mixer Grinder",6
Top,"Flower Vase",6
"Laptop Stand",Shorts,6
Dbms,"Dining Table",6
"The Alchemist","Dining Table",6
Microwave,Lamp,6
Jeans,"Dining Table",6
Jeans,"Mixer Grinder",6
Shorts,Dbms,6
"Samsung Galaxy S24",Dbms,6
"Dining Table",Shirt,6
"Men'S T-Shirt",Shorts,6
"Study Table",Shirt,6
"Study Table","Harry Potter",6
"Samsung Galaxy S24","Wall Clock",6
"Kids T-Shirt","Harry Potter",6
Top,"Wall Clock",6
"Usb Hub","Wall Clock",6
Top,Top,6
Dbms,"Wall Clock",6
"Dining Table",Lamp,6
"Study Table","Dining Table",6
"Operating Systems","Harry Potter",6
"Harry Potter","Harry Potter",6
"Samsung Galaxy S24","Harry Potter",6
"Wall Clock","Harry Potter",6
Lamp,"Harry Potter",6
Microwave,"Harry Potter",6
Dress,"Dining Table",6
"Study Table","Flower Vase",6
"Wall Clock","Wall Clock",5
"Pressure Cooker",Top,5
"Mixer Grinder","Mixer Grinder",5
Keyboard,Shirt,5
"Operating Systems","The Alchemist",5
"Dining Table","Oneplus 12",5
"Men'S T-Shirt",Dbms,5
Lamp,"Sony Headphones",5
Top,Lamp,5
Microwave,"Sony Headphones",5
"Usb Hub",Shorts,5
Lamp,Jeans,5
Jacket,Top,5
Dress,Top,5
Jeans,Shorts,5
"Dining Table",Jacket,5
"Sony Headphones","Dining Table",5
Lamp,"Flower Vase",5
Jacket,"Flower Vase",5
"Pressure Cooker","Operating Systems",5
"Dining Table","Study Table",5
Top,Hoodie,5
"Harry Potter","Computer Networks",5
"Usb Hub",Top,5
"Usb Hub","Samsung Galaxy S24",5
Dress,"Operating Systems",5
Lamp,Microwave,5
"Pressure Cooker","Dining Table",5
Shorts,Naruto,5
"Kids T-Shirt","Study Table",5
Top,Microwave,5
"Study Table",Naruto,5
Shirt,Hoodie,5
"Kids T-Shirt","Dining Table",5
"Dining Table",Dress,5
"Operating Systems",Shirt,5
"Laptop Stand",Lamp,5
Jeans,"Harry Potter",5
Microwave,"The Alchemist",5
Dbms,Shirt,5
"Pressure Cooker",Shirt,5
Dress,"Harry Potter",5
Jeans,"Wall Clock",5
"Study Table",Microwave,5
Dbms,"Harry Potter",5
Microwave,"Operating Systems",5
Jeans,"Sony Headphones",5
Dbms,Microwave,5
"Dining Table",Microwave,5
"Pressure Cooker","Mixer Grinder",5
"Logitech Mouse",Top,5
"Wall Clock",Top,5
"Study Table",Jeans,5
"Harry Potter","Usb Hub",5
"Mixer Grinder","Sony Headphones",5
Dbms,Top,5
"Samsung Galaxy S24",Shirt,5
"Computer Networks","Mixer Grinder",5
"Harry Potter","Mixer Grinder",5
"Laptop Stand",Top,5
"Harry Potter","Flower Vase",5
Shorts,Jacket,5
"Office Chair","Harry Potter",5
"Dining Table","The Alchemist",5
Naruto,"Mixer Grinder",5
"Pressure Cooker",Jeans,5
"Operating Systems","Dining Table",5
