order_id,customer_id,order_date,status,region_code
O000001,C0289,2026-05-04 11:39:04,DELIVERED,NORTH
O000002,C0203,05-03-2025 02:28:28,SHIPPED,CENTRAL
O000003,,2025-06-10 03:42:47,PLACED,CENTRAL
O000004,C0031,2025-10-09 04:37:25,CANCELLED,NORTH
O000005,C0147,2025-02-24 06:09:36,CANCELLED,EAST
O000006,C0457,2025-09-15 16:35:27,CANCELLED,WEST
O000007,C0042,2025-09-02 02:11:25,RETURNED,SOUTH
O000008,C0335,2025-04-08 05:19:41,RETURNED,WEST
O000009,C0271,2025-03-04 01:00:19,PLACED,NORTH
O000010,C0153,2025-05-24 20:05:01,CANCELLED,CENTRAL
O000011,C0195,2024-07-19 11:54:51,DELIVERED,SOUTH
O000012,C0142,2025-01-11 19:01:42,PLACED,NORTH
O000013,C0415,2024-12-24 18:53:11,PLACED,SOUTH
O000014,C0106,2026-01-07 09:18:25,CANCELLED,CENTRAL
O000015,C0345,2025-05-30 13:07:19,PLACED,WEST
O000016,C0225,2026-03-21 15:36:37,PLACED,SOUTH
O000017,C0258,2024-10-22 01:47:22,RETURNED,EAST
O000018,C0296,2026-01-02 09:19:53,DELIVERED,SOUTH
O000019,C0155,2026-04-18 05:52:37,RETURNED,SOUTH
O000020,C0212,2025-06-19 01:38:23,RETURNED,SOUTH
O000021,C0321,2025-04-04 00:29:23,PLACED,EAST
O000022,C0483,2025-02-24 02:35:20,RETURNED,EAST
O000023,C0357,2025-08-22 22:50:59,CANCELLED,SOUTH
O000024,C0387,2024-11-21 08:43:20,SHIPPED,EAST
O000025,C0440,2025-10-02 02:18:33,PLACED,CENTRAL
O000026,C0212,2026-03-22 21:06:53,SHIPPED,WEST
O000027,C0125,2026-04-04 05:45:35,PLACED,WEST
O000028,C0434,2024-10-26 05:38:46,SHIPPED,NORTH
O000029,C0138,2025-08-13 09:59:49,PLACED,NORTH
O000030,C0097,2025-01-24 06:06:27,RETURNED,SOUTH
O000031,C0246,2026-04-24 10:01:06,DELIVERED,NORTH
O000032,C0109,2024-09-09 19:42:21,PLACED,WEST
O000033,C0469,2024-09-09 01:04:48,SHIPPED,WEST
