month,category,customer_count
2024-07,High,19
2024-07,Low,1
2024-08,High,32
2024-08,Low,2
2024-08,Medium,1
2024-09,High,33
2024-09,Low,1
2024-10,High,35
2024-11,High,43
2024-11,Low,3
2024-12,High,39
2024-12,Low,2
2024-12,Medium,1
2025-01,High,44
2025-02,High,36
2025-03,High,32
2025-03,Medium,2
2025-04,High,46
2025-04,Low,1
2025-04,Medium,1
2025-05,High,26
2025-05,Low,1
2025-06,High,32
2025-06,Low,1
2025-07,High,40
2025-07,Medium,1
2025-08,High,42
2025-08,Low,2
2025-09,High,34
2025-09,Low,3
2025-10,High,41
2025-10,Low,2
2025-11,High,32
2025-11,Low,1
2025-12,High,36
2025-12,Low,1
2026-01,High,32
2026-02,High,33
2026-02,Low,2
2026-03,High,33
2026-03,Low,1
2026-04,High,37
2026-04,Low,1
2026-05,High,31
2026-06,High,28
2026-06,Medium,1
2026-07,High,13
2026-07,Low,1
2026-07,Medium,1
