customer_id,total_value,quartile,quartile_label
UNKNOWN,8369030.74,1,Platinum
C0179,1897906.74,1,Platinum
C0495,1888602.02,1,Platinum
C0291,1882438.02,1,Platinum
C0199,1877052.54,1,Platinum
C0028,1875913.15,1,Platinum
C0129,1832335.45,1,Platinum
C0134,1781709.28,1,Platinum
C0268,1732179.09,1,Platinum
C0289,1715713.91,1,Platinum
C0456,1706913.33,1,Platinum
C0023,1689170.65,1,Platinum
C0005,1543114.92,1,Platinum
C0285,1538190.68,1,Platinum
C0430,1500641.53,1,Platinum
C0045,1483347.96,1,Platinum
C0246,1476010.40,1,Platinum
C0488,1473042.65,1,Platinum
C0406,1450979.49,1,Platinum
C0247,1421596.72,1,Platinum
C0311,1413126.33,1,Platinum
C0339,1392806.21,1,Platinum
C0070,1383393.12,1,Platinum
C0269,1372221.41,1,Platinum
C0404,1359910.05,1,Platinum
C0114,1331666.81,1,Platinum
C0204,1329277.38,1,Platinum
C0258,1326833.68,1,Platinum
C0348,1324836.16,1,Platinum
C0372,1319403.73,1,Platinum
C0386,1312306.06,1,Platinum
C0486,1308062.55,1,Platinum
C0251,1258363.04,1,Platinum
C0113,1253132.98,1,Platinum
C0163,1245813.01,1,Platinum
C0423,1244600.10,1,Platinum
C0015,1238137.64,1,Platinum
C0364,1229959.02,1,Platinum
C0296,1220219.08,1,Platinum
C0316,1204514.89,1,Platinum
C0102,1197154.92,1,Platinum
C0472,1185125.38,1,Platinum
C0130,1182028.87,1,Platinum
C0154,1175872.07,1,Platinum
C0452,1173196.24,1,Platinum
C0160,1155119.13,1,Platinum
C0212,1128146.22,1,Platinum
C0096,1127723.68,1,Platinum
C0091,1125208.22,1,Platinum
C0292,1116136.29,1,Platinum
C0468,1110822.46,1,Platinum
C0301,1097456.55,1,Platinum
C0152,1092137.16,1,Platinum
C0332,1083930.14,1,Platinum
C0328,1082659.91,1,Platinum
C0299,1059824.58,1,Platinum
C0379,1041705.27,1,Platinum
C0399,1041491.36,1,Platinum
C0335,1039169.62,1,Platinum
C0086,1032167.99,1,Platinum
C0095,1031751.49,1,Platinum
C0383,1029429.51,1,Platinum
C0069,1028498.42,1,Platinum
C0195,1020432.50,1,Platinum
