month,revenue,prev_revenue,growth_percent
2024-07,5574196.33,NULL,NULL
2024-08,9581730.83,5574196.32600000,71.89
2024-09,9926128.76,9581730.82950000,3.59
2024-10,9160760.60,9926128.75600000,-7.71
2024-11,9356425.74,9160760.59600000,2.14
2024-12,10945832.58,9356425.73800000,16.99
2025-01,11170774.28,10945832.57700000,2.06
2025-02,8997959.44,11170774.28100000,-19.45
2025-03,8435123.33,8997959.44150000,-6.26
2025-04,11598850.70,8435123.33350000,37.51
2025-05,6672948.98,11598850.69650000,-42.47
2025-06,9900977.08,6672948.98300000,48.37
2025-07,12843470.37,9900977.08000000,29.72
2025-08,12865424.30,12843470.36900000,0.17
2025-09,9221065.99,12865424.29550000,-28.33
2025-10,12067215.74,9221065.99350000,30.87
2025-11,9762402.26,12067215.74400000,-19.10
2025-12,10468136.91,9762402.26000000,7.23
2026-01,9910197.17,10468136.90800000,-5.33
2026-02,7635649.41,9910197.17200000,-22.95
2026-03,9569059.90,7635649.40500000,25.32
2026-04,8036061.68,9569059.89650000,-16.02
2026-05,5812130.85,8036061.68350000,-27.67
2026-06,6104208.81,5812130.85400000,5.03
2026-07,3466717.79,6104208.80850000,-43.21
