customer_id,first_category,last_category,category_shift
C0001,Books,Home,Yes
C0002,Home,Home,No
C0003,Home,Home,No
C0004,Home,Clothing,Yes
C0005,Clothing,Clothing,No
C0006,Electronics,Home,Yes
C0007,Books,Clothing,Yes
C0008,Home,Home,No
C0009,Electronics,Electronics,No
C0010,Books,Clothing,Yes
C0011,Home,Home,No
C0013,Clothing,Clothing,No
C0014,Clothing,Clothing,No
C0015,Clothing,Clothing,No
C0017,Books,Clothing,Yes
C0019,Clothing,Books,Yes
C0020,Books,Clothing,Yes
C0021,Home,Home,No
C0023,Clothing,Electronics,Yes
C0024,Books,Books,No
C0027,Home,Home,No
C0028,Clothing,Home,Yes
C0029,Clothing,Clothing,No
C0030,Home,Electronics,Yes
C0031,Home,Electronics,Yes
C0032,Home,Clothing,Yes
C0033,Clothing,Books,Yes
C0034,Home,Home,No
C0035,Books,Books,No
C0036,Home,Books,Yes
C0037,Home,Home,No
C0040,Electronics,Home,Yes
C0041,Home,Electronics,Yes
C0042,Clothing,Clothing,No
C0044,Electronics,Electronics,No
C0045,Home,Books,Yes
C0046,Home,Clothing,Yes
C0047,Books,Books,No
C0048,Books,Home,Yes
C0049,Books,Books,No
C0051,Electronics,Clothing,Yes
C0052,Home,Home,No
C0053,Home,Home,No
C0055,Clothing,Clothing,No
C0056,Books,Books,No
C0057,Clothing,Clothing,No
C0058,Books,Electronics,Yes
C0059,Home,Home,No
C0061,Home,Books,Yes
C0062,Books,Books,No
C0063,Home,Home,No
C0064,Clothing,Clothing,No
C0065,Home,Home,No
C0066,Home,Home,No
C0067,Clothing,Home,Yes
C0069,Books,Home,Yes
C0070,Electronics,Electronics,No
C0071,Home,Home,No
C0072,Clothing,Home,Yes
C0073,Clothing,Clothing,No
C0075,Clothing,Books,Yes
C0076,Home,Home,No
C0077,Home,Home,No
C0078,Electronics,Home,Yes
C0079,Electronics,Home,Yes
C0080,Electronics,Electronics,No
C0081,Electronics,Electronics,No
C0082,Home,Home,No
C0083,Books,Clothing,Yes
C0084,Home,Home,No
