customer_id,revenue,cumulative_revenue,cumulative_percent
UNKNOWN,8369030.74,8369030.74,3.65
C0179,1897906.74,10266937.48,4.48
C0495,1888602.02,12155539.50,5.31
C0291,1882438.02,14037977.52,6.13
C0199,1877052.54,15915030.06,6.95
C0028,1875913.15,17790943.21,7.77
C0129,1832335.45,19623278.66,8.57
C0134,1781709.28,21404987.94,9.34
C0268,1732179.09,23137167.03,10.10
C0289,1715713.91,24852880.94,10.85
C0456,1706913.33,26559794.27,11.59
C0023,1689170.65,28248964.92,12.33
C0005,1543114.92,29792079.84,13.00
C0285,1538190.68,31330270.52,13.68
C0430,1500641.53,32830912.05,14.33
C0045,1483347.96,34314260.01,14.98
C0246,1476010.40,35790270.41,15.62
C0488,1473042.65,37263313.06,16.27
C0406,1450979.49,38714292.55,16.90
C0247,1421596.72,40135889.27,17.52
C0311,1413126.33,41549015.60,18.14
C0339,1392806.21,42941821.82,18.75
C0070,1383393.12,44325214.93,19.35
C0269,1372221.41,45697436.34,19.95
C0404,1359910.05,47057346.39,20.54
C0114,1331666.81,48389013.19,21.12
C0204,1329277.38,49718290.58,21.70
C0258,1326833.68,51045124.26,22.28
C0348,1324836.16,52369960.42,22.86
C0372,1319403.73,53689364.14,23.44
C0386,1312306.06,55001670.21,24.01
C0486,1308062.55,56309732.75,24.58
C0251,1258363.04,57568095.80,25.13
C0113,1253132.98,58821228.78,25.68
C0163,1245813.01,60067041.79,26.22
C0423,1244600.10,61311641.89,26.76
C0015,1238137.64,62549779.53,27.30
C0364,1229959.02,63779738.55,27.84
C0296,1220219.08,64999957.63,28.37
C0316,1204514.89,66204472.52,28.90
C0102,1197154.92,67401627.45,29.42
C0472,1185125.38,68586752.83,29.94
C0130,1182028.87,69768781.70,30.46
C0154,1175872.07,70944653.76,30.97
C0452,1173196.24,72117850.01,31.48
C0160,1155119.13,73272969.13,31.99
C0212,1128146.22,74401115.35,32.48
C0096,1127723.68,75528839.03,32.97
C0091,1125208.22,76654047.25,33.46
C0292,1116136.29,77770183.53,33.95
C0468,1110822.46,78881005.99,34.43
C0301,1097456.55,79978462.54,34.91
C0152,1092137.16,81070599.70,35.39
C0332,1083930.14,82154529.84,35.86
C0328,1082659.91,83237189.75,36.33
C0299,1059824.58,84297014.33,36.80
C0379,1041705.27,85338719.60,37.25
C0399,1041491.36,86380210.96,37.71
C0335,1039169.62,87419380.58,38.16
C0086,1032167.99,88451548.57,38.61
C0095,1031751.49,89483300.07,39.06
C0383,1029429.51,90512729.58,39.51
C0069,1028498.42,91541228.00,39.96
C0195,1020432.50,92561660.49,40.41
C0500,1007433.53,93569094.02,40.84
C0235,997777.00,94566871.02,41.28
C0120,991209.76,95558080.79,41.71
C0185,986765.68,96544846.47,42.14
C0076,965098.06,97509944.53,42.57
C0469,952824.47,98462769.00,42.98
C0020,944363.05,99407132.05,43.39
C0208,932438.49,100339570.54,43.80
C0458,931170.91,101270741.44,44.21
C0191,929848.89,102200590.34,44.61
C0377,914966.15,103115556.49,45.01
C0252,899524.03,104015080.52,45.40
C0318,886221.98,104901302.50,45.79
C0082,884513.97,105785816.46,46.18
C0033,880561.65,106666378.11,46.56
C0170,872738.88,107539117.00,46.94
C0465,871601.64,108410718.64,47.32
C0032,868990.43,109279709.07,47.70
C0213,865216.67,110144925.73,48.08
C0326,865147.10,111010072.84,48.46
C0288,863270.01,111873342.85,48.84
