region_code,order_date,daily_revenue,running_total
CENTRAL,2024-07-23,224431.76,224431.76
CENTRAL,2024-07-24,514050.47,738482.23
CENTRAL,2024-07-29,213428.13,951910.37
CENTRAL,2024-08-06,194621.36,1146531.73
CENTRAL,2024-08-14,538118.47,1684650.20
CENTRAL,2024-08-15,329158.78,2013808.98
CENTRAL,2024-08-16,488112.00,2501920.98
CENTRAL,2024-08-20,-211405.92,2290515.06
CENTRAL,2024-08-24,222589.44,2513104.50
CENTRAL,2024-08-25,72463.19,2585567.69
CENTRAL,2024-08-31,297773.99,2883341.68
CENTRAL,2024-09-05,111918.06,2995259.74
CENTRAL,2024-09-06,69341.37,3064601.11
CENTRAL,2024-09-16,216585.75,3281186.86
CENTRAL,2024-09-19,159939.73,3441126.59
CENTRAL,2024-09-24,252172.74,3693299.33
CENTRAL,2024-09-29,217449.87,3910749.20
CENTRAL,2024-10-01,250217.27,4160966.47
CENTRAL,2024-10-06,367726.43,4528692.90
CENTRAL,2024-10-19,486443.15,5015136.05
CENTRAL,2024-10-25,250223.52,5265359.57
CENTRAL,2024-10-30,163459.33,5428818.90
CENTRAL,2024-11-02,363848.45,5792667.34
CENTRAL,2024-11-05,199244.81,5991912.15
CENTRAL,2024-11-14,358236.42,6350148.57
CENTRAL,2024-11-15,27532.67,6377681.25
CENTRAL,2024-11-17,57260.83,6434942.07
CENTRAL,2024-11-22,134615.47,6569557.54
CENTRAL,2024-11-25,830607.18,7400164.72
CENTRAL,2024-11-27,253358.62,7653523.34
CENTRAL,2024-12-03,203411.14,7856934.48
CENTRAL,2024-12-16,-37029.17,7819905.32
CENTRAL,2024-12-19,361826.17,8181731.48
CENTRAL,2024-12-22,443191.71,8624923.19
CENTRAL,2024-12-25,526776.27,9151699.46
CENTRAL,2024-12-26,757976.77,9909676.23
CENTRAL,2024-12-29,297605.64,10207281.87
CENTRAL,2024-12-31,162972.07,10370253.94
CENTRAL,2025-01-01,47675.96,10417929.90
CENTRAL,2025-01-14,225121.57,10643051.47
CENTRAL,2025-01-18,117537.58,10760589.06
CENTRAL,2025-01-20,290656.46,11051245.52
CENTRAL,2025-01-23,264687.96,11315933.48
CENTRAL,2025-01-25,237278.55,11553212.03
CENTRAL,2025-02-02,304233.55,11857445.58
CENTRAL,2025-02-08,103572.06,11961017.64
CENTRAL,2025-02-20,219964.40,12180982.04
CENTRAL,2025-02-21,205076.80,12386058.84
CENTRAL,2025-02-22,465380.79,12851439.62
CENTRAL,2025-02-26,120214.74,12971654.36
CENTRAL,2025-03-04,592882.94,13564537.31
CENTRAL,2025-03-05,283805.14,13848342.45
CENTRAL,2025-03-09,24463.82,13872806.26
CENTRAL,2025-03-10,554769.11,14427575.37
CENTRAL,2025-03-24,12407.71,14439983.07
CENTRAL,2025-03-26,167951.87,14607934.95
CENTRAL,2025-03-27,367763.81,14975698.75
CENTRAL,2025-04-01,599317.94,15575016.69
CENTRAL,2025-04-05,-186365.99,15388650.70
CENTRAL,2025-04-09,518730.70,15907381.40
CENTRAL,2025-04-10,53558.81,15960940.20
CENTRAL,2025-04-16,275791.12,16236731.33
CENTRAL,2025-04-20,1022793.74,17259525.07
CENTRAL,2025-04-25,258304.42,17517829.49
CENTRAL,2025-05-01,56517.82,17574347.31
CENTRAL,2025-05-03,29769.11,17604116.42
CENTRAL,2025-05-07,613833.79,18217950.21
CENTRAL,2025-05-09,848959.08,19066909.29
CENTRAL,2025-05-21,477002.09,19543911.38
CENTRAL,2025-05-24,29113.76,19573025.14
CENTRAL,2025-05-30,505764.64,20078789.79
CENTRAL,2025-06-01,307453.13,20386242.92
CENTRAL,2025-06-03,249357.22,20635600.14
CENTRAL,2025-06-04,747287.20,21382887.34
CENTRAL,2025-06-09,250173.71,21633061.05
CENTRAL,2025-06-10,2855.07,21635916.12
CENTRAL,2025-06-25,68375.50,21704291.62
CENTRAL,2025-06-28,140749.36,21845040.98
CENTRAL,2025-06-29,844227.76,22689268.74
CENTRAL,2025-06-30,139301.26,22828569.99
CENTRAL,2025-07-03,1002713.90,23831283.89
CENTRAL,2025-07-05,111449.43,23942733.32
CENTRAL,2025-07-07,129239.87,24071973.18
CENTRAL,2025-07-09,574052.86,24646026.04
CENTRAL,2025-07-15,504037.23,25150063.27
CENTRAL,2025-07-23,43404.23,25193467.50
CENTRAL,2025-07-26,464391.85,25657859.35
CENTRAL,2025-07-28,375493.26,26033352.61
CENTRAL,2025-08-04,282273.71,26315626.32
CENTRAL,2025-08-06,278266.60,26593892.91
CENTRAL,2025-08-14,109463.68,26703356.59
CENTRAL,2025-08-26,71661.33,26775017.92
CENTRAL,2025-08-27,562297.54,27337315.47
CENTRAL,2025-08-30,486638.77,27823954.24
CENTRAL,2025-09-03,15720.24,27839674.48
CENTRAL,2025-09-08,238983.48,28078657.96
CENTRAL,2025-09-14,250771.00,28329428.95
CENTRAL,2025-09-23,287095.42,28616524.38
CENTRAL,2025-09-24,594116.00,29210640.38
CENTRAL,2025-09-30,356309.99,29566950.37
CENTRAL,2025-10-01,371955.66,29938906.02
CENTRAL,2025-10-02,277003.16,30215909.18
CENTRAL,2025-10-06,548961.95,30764871.13
CENTRAL,2025-10-07,184193.24,30949064.38
CENTRAL,2025-10-10,231487.50,31180551.87
CENTRAL,2025-10-15,413784.57,31594336.44
CENTRAL,2025-10-16,47824.39,31642160.83
CENTRAL,2025-10-18,458150.22,32100311.05
CENTRAL,2025-10-19,569298.38,32669609.43
CENTRAL,2025-10-24,641094.49,33310703.92
CENTRAL,2025-10-25,1059164.23,34369868.15
CENTRAL,2025-11-06,665873.48,35035741.62
CENTRAL,2025-11-07,950847.24,35986588.87
CENTRAL,2025-11-09,122652.73,36109241.60
CENTRAL,2025-12-04,377466.45,36486708.05
CENTRAL,2025-12-24,582369.61,37069077.65
CENTRAL,2025-12-27,220882.84,37289960.49
CENTRAL,2025-12-28,136123.81,37426084.30
CENTRAL,2025-12-31,75208.24,37501292.54
CENTRAL,2026-01-04,903862.69,38405155.23
CENTRAL,2026-01-07,70627.38,38475782.62
CENTRAL,2026-01-25,669125.95,39144908.57
CENTRAL,2026-01-26,847617.88,39992526.45
CENTRAL,2026-01-29,50693.38,40043219.83
CENTRAL,2026-01-30,368233.15,40411452.98
CENTRAL,2026-02-01,533008.41,40944461.39
CENTRAL,2026-02-02,337572.03,41282033.42
CENTRAL,2026-02-09,207713.67,41489747.09
CENTRAL,2026-02-14,296116.40,41785863.48
CENTRAL,2026-02-15,581167.09,42367030.57
CENTRAL,2026-02-22,265032.21,42632062.78
CENTRAL,2026-02-25,12305.88,42644368.66
CENTRAL,2026-03-07,109655.55,42754024.21
CENTRAL,2026-03-12,152789.24,42906813.45
CENTRAL,2026-03-16,142104.74,43048918.19
CENTRAL,2026-03-24,340796.85,43389715.04
CENTRAL,2026-03-28,160641.19,43550356.23
CENTRAL,2026-03-30,667077.07,44217433.30
CENTRAL,2026-04-01,718753.46,44936186.76
CENTRAL,2026-04-07,443939.02,45380125.77
CENTRAL,2026-04-10,154366.97,45534492.75
CENTRAL,2026-04-17,98214.14,45632706.89
CENTRAL,2026-04-30,66971.33,45699678.22
CENTRAL,2026-05-02,270840.79,45970519.00
CENTRAL,2026-05-09,110659.14,46081178.14
CENTRAL,2026-05-10,17897.33,46099075.46
CENTRAL,2026-05-11,420068.33,46519143.79
CENTRAL,2026-05-20,132683.00,46651826.79
CENTRAL,2026-05-23,492641.86,47144468.65
CENTRAL,2026-06-01,241919.54,47386388.19
CENTRAL,2026-06-05,227975.74,47614363.92
CENTRAL,2026-06-07,603750.42,48218114.34
CENTRAL,2026-06-08,419937.67,48638052.01
CENTRAL,2026-06-09,5593.36,48643645.37
CENTRAL,2026-06-11,121696.70,48765342.07
CENTRAL,2026-06-15,22523.86,48787865.93
CENTRAL,2026-06-16,119601.34,48907467.27
CENTRAL,2026-06-18,186965.25,49094432.51
CENTRAL,2026-06-19,221239.17,49315671.68
CENTRAL,2026-06-20,256298.24,49571969.92
CENTRAL,2026-06-21,350793.89,49922763.80
CENTRAL,2026-07-03,197437.06,50120200.86
CENTRAL,2026-07-05,687279.40,50807480.26
CENTRAL,2026-07-09,131618.71,50939098.97
CENTRAL,2026-07-10,157822.39,51096921.36
CENTRAL,2026-07-13,270427.57,51367348.92
EAST,2024-07-16,259615.98,259615.98
EAST,2024-07-19,178123.61,437739.59
EAST,2024-07-30,436614.85,874354.45
EAST,2024-08-01,334569.51,1208923.96
EAST,2024-08-02,41709.79,1250633.75
EAST,2024-08-07,525628.16,1776261.91
EAST,2024-08-09,217873.46,1994135.37
EAST,2024-08-21,234975.43,2229110.79
EAST,2024-08-23,253620.82,2482731.62
EAST,2024-09-02,143791.41,2626523.02
EAST,2024-09-03,236322.43,2862845.45
EAST,2024-09-10,973907.40,3836752.85
EAST,2024-09-12,334301.12,4171053.97
EAST,2024-09-14,456245.97,4627299.95
EAST,2024-09-16,15469.43,4642769.37
EAST,2024-09-18,34403.26,4677172.63
EAST,2024-09-25,210747.73,4887920.36
EAST,2024-10-08,451146.34,5339066.71
EAST,2024-10-10,384524.89,5723591.60
EAST,2024-10-22,77379.77,5800971.37
EAST,2024-10-25,756325.53,6557296.90
EAST,2024-11-04,471400.75,7028697.65
EAST,2024-11-06,243305.95,7272003.59
EAST,2024-11-08,64135.99,7336139.58
EAST,2024-11-10,270423.49,7606563.07
EAST,2024-11-11,53078.93,7659642.00
EAST,2024-11-15,251803.30,7911445.30
EAST,2024-11-19,47511.14,7958956.44
EAST,2024-11-20,276051.65,8235008.10
EAST,2024-11-21,104134.73,8339142.82
EAST,2024-11-24,484932.21,8824075.03
EAST,2024-11-26,254495.10,9078570.14
EAST,2024-11-30,49744.43,9128314.56
EAST,2024-12-01,124483.04,9252797.60
EAST,2024-12-03,179192.89,9431990.49
EAST,2024-12-08,384056.84,9816047.33
EAST,2024-12-10,318233.53,10134280.86
EAST,2024-12-13,206204.44,10340485.29
EAST,2024-12-15,7512.11,10347997.40
EAST,2024-12-28,516699.93,10864697.33
EAST,2024-12-29,417769.90,11282467.23
EAST,2024-12-30,524254.43,11806721.66
